kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
2.0,0.0,0.0,4,0.0625,14,6.103515625e-05,16384,1000,0.00011613330782047489,0.0,85.0,0.8074646999593824
2.0,0.0,0.0,5,0.03125,14,6.103515625e-05,16384,1000,5.815290767384461e-05,0.0,171.0,0.23152419994585216
2.0,0.0,0.0,6,0.015625,14,6.103515625e-05,16384,1000,2.923161614782482e-05,0.0,342.0,0.3161516999825835
2.0,0.0,0.0,7,0.0078125,14,6.103515625e-05,16384,1000,1.476771371762553e-05,0.0,691.0,0.28527659992687404
2.0,0.0,0.0,8,0.00390625,14,6.103515625e-05,16384,1000,7.534800801352326e-06,0.0,1412.0,0.30602450016885996
2.0,0.0,0.0,9,0.001953125,14,6.103515625e-05,16384,1000,3.882484823601596e-06,0.0,2988.0,0.3616363999899477
2.0,0.04,0.08944271909999159,4,0.0625,14,6.103515625e-05,16384,1000,0.00016870074293430317,0.0,86.325,0.23226369987241924
2.0,0.04,0.08944271909999159,5,0.03125,14,6.103515625e-05,16384,1000,8.581169319741541e-05,0.0,172.577,0.19573560007847846
2.0,0.04,0.08944271909999159,6,0.015625,14,6.103515625e-05,16384,1000,4.210072365326836e-05,0.0,346.441,0.24940490000881255
2.0,0.04,0.08944271909999159,7,0.0078125,14,6.103515625e-05,16384,1000,2.1072932502186367e-05,0.0,699.886,0.28100230009295046
2.0,0.04,0.08944271909999159,8,0.00390625,14,6.103515625e-05,16384,1000,1.069092275103012e-05,0.0,1430.661,0.3053963000420481
2.0,0.04,0.08944271909999159,9,0.001953125,14,6.103515625e-05,16384,1000,5.541973743919871e-06,0.0,3006.074,0.3335992998909205
2.0,0.08,0.12649110640673517,4,0.0625,14,6.103515625e-05,16384,1000,0.00020420650587387734,0.0,87.435,0.21645130007527769
2.0,0.08,0.12649110640673517,5,0.03125,14,6.103515625e-05,16384,1000,0.00010301299332355257,0.0,174.784,0.2568965000100434
2.0,0.08,0.12649110640673517,6,0.015625,14,6.103515625e-05,16384,1000,5.141997422404439e-05,0.0,350.887,0.23185059987008572
2.0,0.08,0.12649110640673517,7,0.0078125,14,6.103515625e-05,16384,1000,2.62341456364834e-05,0.0,709.065,0.27438879990950227
2.0,0.08,0.12649110640673517,8,0.00390625,14,6.103515625e-05,16384,1000,1.3276011520660592e-05,0.0,1450.542,0.25575640005990863
2.0,0.08,0.12649110640673517,9,0.001953125,14,6.103515625e-05,16384,1000,6.820584575458847e-06,0.0,3049.274,0.33175050001591444
2.0,0.12,0.15491933384829668,4,0.0625,14,6.103515625e-05,16384,1000,0.00023867697750014325,0.0,88.573,0.20526130008511245
2.0,0.12,0.15491933384829668,5,0.03125,14,6.103515625e-05,16384,1000,0.00012410514804136343,0.0,177.097,0.24047059984877706
2.0,0.12,0.15491933384829668,6,0.015625,14,6.103515625e-05,16384,1000,6.020298510557642e-05,0.0,355.636,0.23270139982923865
2.0,0.12,0.15491933384829668,7,0.0078125,14,6.103515625e-05,16384,1000,3.0206982804981266e-05,0.0,718.801,0.23986599990166724
2.0,0.12,0.15491933384829668,8,0.00390625,14,6.103515625e-05,16384,1000,1.555792796571596e-05,0.0,1471.207,0.2826654000673443
2.0,0.12,0.15491933384829668,9,0.001953125,14,6.103515625e-05,16384,1000,7.798758528103957e-06,0.0,3096.141,0.3550372999161482
2.0,0.16,0.17888543819998318,4,0.0625,14,6.103515625e-05,16384,1000,0.0002727865305162957,0.0,89.79,0.23091910011135042
2.0,0.16,0.17888543819998318,5,0.03125,14,6.103515625e-05,16384,1000,0.0001308538927883395,0.0,179.554,0.23659580014646053
2.0,0.16,0.17888543819998318,6,0.015625,14,6.103515625e-05,16384,1000,6.772597622589596e-05,0.0,360.6,0.2739548999816179
2.0,0.16,0.17888543819998318,7,0.0078125,14,6.103515625e-05,16384,1000,3.326796091708262e-05,0.0,729.07,0.25237130001187325
2.0,0.16,0.17888543819998318,8,0.00390625,14,6.103515625e-05,16384,1000,1.7338651353514106e-05,0.0,1493.181,0.28173859999515116
2.0,0.16,0.17888543819998318,9,0.001953125,14,6.103515625e-05,16384,1000,9.042419244979339e-06,0.0,3146.093,0.36805689986795187
2.0,0.2,0.2,4,0.0625,14,6.103515625e-05,16384,1000,0.0002979236485232301,0.0,91.088,0.23186249984428287
2.0,0.2,0.2,5,0.03125,14,6.103515625e-05,16384,1000,0.0001466767327145845,0.0,182.118,0.21494859992526472
2.0,0.2,0.2,6,0.015625,14,6.103515625e-05,16384,1000,7.336761401205483e-05,0.0,365.858,0.2600741998758167
2.0,0.2,0.2,7,0.0078125,14,6.103515625e-05,16384,1000,3.659208068634124e-05,0.0,739.895,0.2572217001579702
2.0,0.2,0.2,8,0.00390625,14,6.103515625e-05,16384,1000,1.8891726168455028e-05,0.0,1516.408,0.2613435999955982
2.0,0.2,0.2,9,0.001953125,14,6.103515625e-05,16384,1000,9.585277506382549e-06,0.0,3200.375,0.37712069996632636
2.0,0.24000000000000002,0.21908902300206645,4,0.0625,14,6.103515625e-05,16384,1000,0.0003156472890287621,0.0,92.421,0.21414999989792705
2.0,0.24000000000000002,0.21908902300206645,5,0.03125,14,6.103515625e-05,16384,1000,0.000157108659521902,0.0,184.846,0.25953929987736046
2.0,0.24000000000000002,0.21908902300206645,6,0.015625,14,6.103515625e-05,16384,1000,8.10824788608615e-05,0.0,371.35,0.2559287999756634
2.0,0.24000000000000002,0.21908902300206645,7,0.0078125,14,6.103515625e-05,16384,1000,3.87900287697332e-05,0.0,751.298,0.2991526999976486
2.0,0.24000000000000002,0.21908902300206645,8,0.00390625,14,6.103515625e-05,16384,1000,1.9556650602117577e-05,0.0,1541.088,0.40329429996199906
2.0,0.24000000000000002,0.21908902300206645,9,0.001953125,14,6.103515625e-05,16384,1000,1.0317401391531347e-05,0.0,3258.607,0.36009730002842844
2.0,0.27999999999999997,0.23664319132398462,4,0.0625,14,6.103515625e-05,16384,1000,0.00033453361103399763,0.0,93.841,0.23072910006158054
2.0,0.27999999999999997,0.23664319132398462,5,0.03125,14,6.103515625e-05,16384,1000,0.00017322448299487503,0.0,187.69,0.22136720013804734
2.0,0.27999999999999997,0.23664319132398462,6,0.015625,14,6.103515625e-05,16384,1000,8.605999978082436e-05,0.0,377.185,0.22166789998300374
2.0,0.27999999999999997,0.23664319132398462,7,0.0078125,14,6.103515625e-05,16384,1000,4.2229897082890494e-05,0.0,763.427,0.2911519999615848
2.0,0.27999999999999997,0.23664319132398462,8,0.00390625,14,6.103515625e-05,16384,1000,2.1695965085256402e-05,0.0,1567.276,0.29714099992997944
2.0,0.27999999999999997,0.23664319132398462,9,0.001953125,14,6.103515625e-05,16384,1000,1.0750330769495397e-05,7.768821551072323e-05,3320.967,0.32769160019233823
2.0,0.32,0.25298221281347033,4,0.0625,14,6.103515625e-05,16384,1000,0.0003539483283419493,0.0,95.338,0.23919290001504123
2.0,0.32,0.25298221281347033,5,0.03125,14,6.103515625e-05,16384,1000,0.00017924501866020844,0.0,190.712,0.23776590009219944
2.0,0.32,0.25298221281347033,6,0.015625,14,6.103515625e-05,16384,1000,9.181806715126105e-05,0.0,383.334,0.23875109991058707
2.0,0.32,0.25298221281347033,7,0.0078125,14,6.103515625e-05,16384,1000,4.631148973693231e-05,0.0,776.19,0.2571164998225868
2.0,0.32,0.25298221281347033,8,0.00390625,14,6.103515625e-05,16384,1000,2.19250040416005e-05,0.0,1595.046,0.3585997000336647
2.0,0.32,0.25298221281347033,9,0.001953125,14,6.103515625e-05,16384,1000,1.1568806111440415e-05,0.0002399462378761482,3388.259,0.39166809991002083
2.0,0.36,0.2683281572999748,4,0.0625,14,6.103515625e-05,16384,1000,0.0003779854629463988,4.127924376425424e-05,96.901,0.22348339995369315
2.0,0.36,0.2683281572999748,5,0.03125,14,6.103515625e-05,16384,1000,0.00018813969309628738,4.642142400297097e-05,193.876,0.22580390004441142
2.0,0.36,0.2683281572999748,6,0.015625,14,6.103515625e-05,16384,1000,8.832942998135154e-05,3.334898170167027e-05,389.817,0.2769279999192804
2.0,0.36,0.2683281572999748,7,0.0078125,14,6.103515625e-05,16384,1000,4.588620006632359e-05,2.91240252948491e-05,789.726,0.34172099991701543
2.0,0.36,0.2683281572999748,8,0.00390625,14,6.103515625e-05,16384,1000,2.3426175206279432e-05,2.8311682077043474e-05,1624.771,0.3430336001329124
2.0,0.36,0.2683281572999748,9,0.001953125,14,6.103515625e-05,16384,1000,1.1729536674299258e-05,0.0006043960490823933,3459.652,0.43460929999127984
2.0,0.39999999999999997,0.282842712474619,4,0.0625,14,6.103515625e-05,16384,1000,0.00038952595488395267,0.00016233766233766234,98.56,0.21243429998867214
2.0,0.39999999999999997,0.282842712474619,5,0.03125,14,6.103515625e-05,16384,1000,0.00019683996092880455,0.0001520943390487006,197.246,0.23568259994499385
2.0,0.39999999999999997,0.282842712474619,6,0.015625,14,6.103515625e-05,16384,1000,9.918020686483893e-05,0.00013108935251943653,396.676,0.2265643000137061
2.0,0.39999999999999997,0.282842712474619,7,0.0078125,14,6.103515625e-05,16384,1000,4.9287940355864564e-05,0.00011689826617486488,804.118,0.2761575998738408
