backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,reference_n_steps,regime,runtime_s,scheme,scheme_variant,sensitivity_kind
nan,0.0625,0.0004846262664914157,0.0006196619288385016,16.0,,,,HH,4096,A,0.00732179987244308,FTE,fixed,strong_error
nan,0.03125,0.0003044013090632333,0.00038938355692918645,32.0,,,,HH,4096,A,0.0068808000069111586,FTE,fixed,strong_error
nan,0.015625,0.0001974785543623287,0.00024966208813201253,64.0,,,,HH,4096,A,0.010182099882513285,FTE,fixed,strong_error
nan,0.0078125,0.0001286854585974952,0.0001626668769424987,128.0,,,,HH,4096,A,0.012956799939274788,FTE,fixed,strong_error
nan,0.00390625,8.757684623680463e-05,0.00011032488958297519,256.0,,,,HH,4096,A,0.028787899995222688,FTE,fixed,strong_error
nan,0.001953125,6.443779520451154e-05,8.086994636093246e-05,512.0,,,,HH,4096,A,0.05250340001657605,FTE,fixed,strong_error
nan,0.0625,0.00031989098330945673,0.0004075445907456566,16.0,0.0,0.0,0.0125,HH,4096,A,0.009545800043269992,ProjEuler,fixed,strong_error
nan,0.03125,0.00015282451362342474,0.0001973016146052214,32.0,0.0,0.0,0.008838834764831846,HH,4096,A,0.007233000127598643,ProjEuler,fixed,strong_error
nan,0.015625,7.721670732467144e-05,9.833813904580004e-05,64.0,0.0,0.0,0.00625,HH,4096,A,0.010419599944725633,ProjEuler,fixed,strong_error
nan,0.0078125,3.786744781072471e-05,4.844538944567083e-05,128.0,0.0,0.0,0.004419417382415923,HH,4096,A,0.012302699964493513,ProjEuler,fixed,strong_error
nan,0.00390625,1.8690698957747006e-05,2.429205982023519e-05,256.0,0.0,0.0,0.003125,HH,4096,A,0.022536000004038215,ProjEuler,fixed,strong_error
nan,0.001953125,9.093431204407444e-06,1.1631107134686193e-05,512.0,0.0,0.0,0.0022097086912079614,HH,4096,A,0.04616829985752702,ProjEuler,fixed,strong_error
nan,0.0625,0.0010575380095305413,0.0011055151198233948,16.0,,,,HH,4096,A,0.006470000138506293,KL,uniform,strong_error
nan,0.03125,0.0005354580459981991,0.0005591894329949491,32.0,,,,HH,4096,A,0.007782600121572614,KL,uniform,strong_error
nan,0.015625,0.0002685914055017373,0.00028006164334962234,64.0,,,,HH,4096,A,0.006682700011879206,KL,uniform,strong_error
nan,0.0078125,0.00013477692144480075,0.0001404253835387426,128.0,,,,HH,4096,A,0.010127199813723564,KL,uniform,strong_error
nan,0.00390625,6.743611798263408e-05,7.043402683706305e-05,256.0,,,,HH,4096,A,0.015639400109648705,KL,uniform,strong_error
nan,0.001953125,3.377082041334384e-05,3.5303806653916044e-05,512.0,,,,HH,4096,A,0.03385340003296733,KL,uniform,strong_error
0.0,0.0625,4.011712446875654e-05,5.214577236921124e-05,119.807,,,,HH,4096,A,0.10330990003421903,KLM,implicit,strong_error
0.0,0.03125,1.97725071477779e-05,2.5476049225015406e-05,242.7545,,,,HH,4096,A,0.1353806999977678,KLM,implicit,strong_error
0.0,0.015625,9.18938254027602e-06,1.1834383839321668e-05,500.707,,,,HH,4096,A,0.24963740003295243,KLM,implicit,strong_error
0.0,0.0078125,3.92750535059358e-06,5.076587203838773e-06,1073.0085,,,,HH,4096,A,0.3161528999917209,KLM,implicit,strong_error
0.0003958400092065045,0.00390625,1.4131011692332676e-06,1.8199727352645435e-06,2519.9575,,,,HH,4096,A,0.6378931999206543,KLM,implicit,strong_error
0.2383790283203125,0.001953125,1.1395680098764673e-06,1.5111583064990532e-06,4096.0,,,,HH,4096,A,1.0530124001670629,KLM,implicit,strong_error
nan,0.0625,0.0034231892066602,0.0050969674900388,16.0,,,,HH,4096,C,0.00584929995238781,FTE,fixed,strong_error
nan,0.03125,0.002396574109229694,0.003423133167763195,32.0,,,,HH,4096,C,0.015560500090941787,FTE,fixed,strong_error
nan,0.015625,0.0016521995043135274,0.0022725733395806457,64.0,,,,HH,4096,C,0.007802299922332168,FTE,fixed,strong_error
nan,0.0078125,0.001149638239767239,0.0015765209454793871,128.0,,,,HH,4096,C,0.011246600188314915,FTE,fixed,strong_error
nan,0.00390625,0.0007849030558478733,0.0010714263410733092,256.0,,,,HH,4096,C,0.017697300063446164,FTE,fixed,strong_error
nan,0.001953125,0.0005777929491262432,0.0007749208426591361,512.0,,,,HH,4096,C,0.030350999906659126,FTE,fixed,strong_error
nan,0.0625,0.0011256255817932153,0.0017000725007553473,16.0,0.05640625,0.052375,0.035355339059327376,HH,4096,C,0.006816699868068099,ProjEuler,fixed,strong_error
nan,0.03125,0.0005880461660660674,0.0009422337462325036,32.0,0.027171875,0.025984375,0.025,HH,4096,C,0.006486400030553341,ProjEuler,fixed,strong_error
nan,0.015625,0.00031391538187608203,0.0005125197356274285,64.0,0.0134296875,0.013171875,0.017677669529663688,HH,4096,C,0.0064067000057548285,ProjEuler,fixed,strong_error
