regime,scheme,a,delta,reference_n_steps,n_paths,dt,l1_vs_blt_ref,l2_vs_blt_ref,l1_vs_hh_ref,l2_vs_hh_ref,terminal_zero_mass,rel_mean_bias,runtime_s
A,BLT,15.999999999999996,15.999999999999996,8192,20000,0.0625,0.000387623813828409,0.0004965934368720364,0.00038850955688350924,0.0004977724035195612,0.0,-0.0015593407434654968,0.009306000079959631
A,BLT,15.999999999999996,15.999999999999996,8192,20000,0.03125,0.00019522729374345837,0.00025014873838432,0.00019609671179596048,0.0002513120274635975,0.0,0.0002295813471655736,0.018697499996051192
A,BLT,15.999999999999996,15.999999999999996,8192,20000,0.015625,9.755764207134301e-05,0.00012517900233955398,9.842338306540259e-05,0.00012633448644815557,0.0,0.0011609483242219776,0.07410060008987784
A,BLT,15.999999999999996,15.999999999999996,8192,20000,0.0078125,4.870039394451973e-05,6.254380920026062e-05,4.9565954499819695e-05,6.369606949448041e-05,0.0,0.001587043223549335,0.07836750010028481
A,BLT,15.999999999999996,15.999999999999996,8192,20000,0.00390625,2.414054318726793e-05,3.087467556333515e-05,2.500110699740421e-05,3.202408349539134e-05,0.0,0.001815289788243031,0.2630137999076396
A,BLT,15.999999999999996,15.999999999999996,8192,20000,0.001953125,1.1758717125644173e-05,1.5068002713625408e-05,1.2632922324659036e-05,1.62232566776324e-05,0.0,0.001922218985893863,0.47741739987395704
B,BLT,3.999999999999999,3.999999999999999,8192,20000,0.0625,0.0007413745272599846,0.0010080461312497134,0.0007429275591204099,0.0010105053253186536,0.0,-0.01072917877098286,0.006026499904692173
B,BLT,3.999999999999999,3.999999999999999,8192,20000,0.03125,0.0003729979730590932,0.0005088122549291098,0.0003745319305238373,0.0005112450298349543,0.0,-0.0038868733603480976,0.015538499923422933
B,BLT,3.999999999999999,3.999999999999999,8192,20000,0.015625,0.00018663496976372454,0.0002545669058822786,0.0001881638119117301,0.00025698920190817437,0.0,-0.00037648608768366815,0.04117029998451471
B,BLT,3.999999999999999,3.999999999999999,8192,20000,0.0078125,9.329074401355512e-05,0.00012760951820969227,9.481658521755995e-05,0.0001300298793645084,0.0,0.0013008014539345539,0.08688349998556077
B,BLT,3.999999999999999,3.999999999999999,8192,20000,0.00390625,4.608378328100593e-05,6.273878217978106e-05,4.7599582376452086e-05,6.515205796000133e-05,0.0,0.002172323012716512,0.16454520006664097
B,BLT,3.999999999999999,3.999999999999999,8192,20000,0.001953125,2.2523688513342393e-05,3.06676964484073e-05,2.4069090573456293e-05,3.3095367287094877e-05,0.0,0.0025915227737207183,0.4013994000852108
C,BLT,2.0,2.0,8192,20000,0.0625,0.0010083392147857094,0.0014660802190611117,0.0010102373426915932,0.0014698522210164736,0.0,-0.024724541591618528,0.005060900002717972
C,BLT,2.0,2.0,8192,20000,0.03125,0.000517866936169594,0.0007537203483483857,0.0005197705123414471,0.000757436449392968,0.0,-0.011146510361596286,0.012823200086131692
C,BLT,2.0,2.0,8192,20000,0.015625,0.00026560595360862135,0.0003853987264416598,0.0002674882522771906,0.00038900553318983017,0.0,-0.004292440346818048,0.03347019990906119
C,BLT,2.0,2.0,8192,20000,0.0078125,0.00013623683649479902,0.00019802599362552358,0.00013808349678553217,0.00020161849763039282,0.0,-0.0009986777147216394,0.0873425998724997
C,BLT,2.0,2.0,8192,20000,0.00390625,6.878709756274219e-05,9.994066946821828e-05,7.06288482210657e-05,0.0001034532557003428,0.0,0.0007358659335446327,0.17570060002617538
C,BLT,2.0,2.0,8192,20000,0.001953125,3.495100657476171e-05,5.132150507006833e-05,3.685191454663845e-05,5.487939585857045e-05,0.0,0.0015387967304294342,1.0501564999576658
D,BLT,0.64,0.64,8192,20000,0.0625,0.0014651923598644422,0.0025523089245623313,0.00146273031110473,0.0025840912176556476,0.2307,-0.01584176452079939,0.013330199988558888
D,BLT,0.64,0.64,8192,20000,0.03125,0.0010519152419309783,0.0018047357815364547,0.000939324003460225,0.0016399701537886673,0.1805,0.010306006961759845,0.02955400012433529
D,BLT,0.64,0.64,8192,20000,0.015625,0.0008131727622537359,0.001428048068716399,0.0006644583509670178,0.0011737511945083025,0.14215,0.018628951698750756,0.06872530002146959
D,BLT,0.64,0.64,8192,20000,0.0078125,0.0006355763080312093,0.0011737046620163426,0.0004848429240737264,0.0009019687490018724,0.11145,0.019922675519869724,0.08881270000711083
D,BLT,0.64,0.64,8192,20000,0.00390625,0.000493207198817003,0.0009552937695919795,0.00040377235221527474,0.0007878843763859595,0.0898,0.017103853255181177,0.18233630014583468
D,BLT,0.64,0.64,8192,20000,0.001953125,0.0003717985066330854,0.0007510775479346273,0.0003781181035556068,0.0007310254484950391,0.07225,0.013875848639033177,0.8277646000497043
E,BLT,0.24999999999999994,0.24999999999999994,8192,20000,0.0625,0.007838122090007945,0.016782646900331277,0.005940674373061642,0.012398218088262566,0.41745,0.5243176093798788,0.009527499787509441
E,BLT,0.24999999999999994,0.24999999999999994,8192,20000,0.03125,0.0070592476524448475,0.01567243255777959,0.004970458405490598,0.01088723517084508,0.3555,0.5212634106115058,0.022190799936652184
E,BLT,0.24999999999999994,0.24999999999999994,8192,20000,0.015625,0.006018614931097627,0.013714643075062533,0.003847407570055259,0.008843450525935333,0.3072,0.4843710646217764,0.03911819984205067
E,BLT,0.24999999999999994,0.24999999999999994,8192,20000,0.0078125,0.004937867627178951,0.011848911605070435,0.0028491436400429728,0.006952294753018299,0.2714,0.43766483151773516,0.077876599971205
E,BLT,0.24999999999999994,0.24999999999999994,8192,20000,0.00390625,0.003878305953114727,0.00983320250499695,0.002036915430817673,0.005216485054274742,0.23825,0.38886901513477506,0.1597323000896722
E,BLT,0.24999999999999994,0.24999999999999994,8192,20000,0.001953125,0.002947562242610789,0.00793231166184326,0.0015549238968554067,0.004264101494854739,0.21115,0.3439373761870172,0.2806444999296218
