regime,scheme,n_steps,ks,w1,n_paths
A,Exact,0,0.0032727634851075216,3.19460342921968e-05,50000
A,FTE,8,0.022631314534823033,0.00044772188901489224,50000
A,FTE,16,0.01106544177248682,0.00020437893880436561,50000
A,FTE,32,0.0060914706226832815,9.572141762016325e-05,50000
A,FTE,64,0.006475199657444336,6.843079846666577e-05,50000
A,FTE,128,0.003350379857599839,3.215554278655334e-05,50000
A,FTE,256,0.002925606981135198,2.902866038215105e-05,50000
A,HH,8,0.025144832267245232,0.0004441266473425224,50000
A,HH,16,0.011549190872328974,0.0002019562978352084,50000
A,HH,32,0.006888201653402981,9.035406478313141e-05,50000
A,HH,64,0.00645535168591585,6.604062308305696e-05,50000
A,HH,128,0.003378191015036003,3.295258906791713e-05,50000
A,HH,256,0.002970626832674683,3.222698909200689e-05,50000
A,ProjEuler,8,0.021874494463011374,0.0004327874218446623,50000
A,ProjEuler,16,0.009832277950516333,0.0001910232908812254,50000
A,ProjEuler,32,0.00600909432878205,8.977749105135785e-05,50000
A,ProjEuler,64,0.005330644200869095,6.536936382912292e-05,50000
A,ProjEuler,128,0.002911847872203832,2.850565865798981e-05,50000
A,ProjEuler,256,0.002679010353010991,2.867657033446511e-05,50000
A,KLM,8,0.0061886131628188235,7.081008388081719e-05,50000
A,KLM,16,0.0035165657039464004,4.879910349365516e-05,50000
A,KLM,32,0.002908691868019009,2.5218035429318514e-05,50000
A,KLM,64,0.004609301287084866,4.2193064961814046e-05,50000
A,KLM,128,0.002263029043933884,3.157118198035432e-05,50000
A,KLM,256,0.005214787906637763,3.89814077696088e-05,50000
C,Exact,0,0.005663588959264887,9.417493286851377e-05,50000
C,FTE,8,0.10538,0.0011687795210304566,50000
C,FTE,16,0.0596,0.0005830026590228227,50000
C,FTE,32,0.032759455852657535,0.0002688858254331729,50000
C,FTE,64,0.0173,0.00018170329410251824,50000
C,FTE,128,0.00894,0.00012549657077539286,50000
C,FTE,256,0.00489229552068667,0.00013009228804364148,50000
C,HH,8,0.08166929343774865,0.001452181070430265,50000
C,HH,16,0.06683311323623399,0.000618144504850343,50000
C,HH,32,0.04365086170090678,0.0002558382138784676,50000
C,HH,64,0.02534805096377042,0.00017264458094087216,50000
C,HH,128,0.013926105873808131,9.197157713534971e-05,50000
C,HH,256,0.007272761965358531,0.00012550353498387568,50000
C,ProjEuler,8,0.11637515399231677,0.0016134909484090847,50000
C,ProjEuler,16,0.05996267836297019,0.0008157628378797486,50000
C,ProjEuler,32,0.03043852416202349,0.0003924828921383014,50000
C,ProjEuler,64,0.015335277853595593,0.0002129900598309787,50000
C,ProjEuler,128,0.007696860576605151,9.670573905698217e-05,50000
C,ProjEuler,256,0.0038557630887918293,9.847367860655587e-05,50000
C,KLM,8,0.006892737659647291,0.00024523750256905726,50000
C,KLM,16,0.006111418263986368,0.00016419090506202761,50000
C,KLM,32,0.0037347422028143895,8.262248701516994e-05,50000
C,KLM,64,0.0022812193851374785,9.279914505651208e-05,50000
C,KLM,128,0.002730109645032619,8.489275146259885e-05,50000
C,KLM,256,0.002854815823450041,8.049241976047363e-05,50000
E,Exact,0,0.0032834663030023095,0.00026653496443970916,50000
E,FTE,8,0.58086,0.0035682651084174336,50000
E,FTE,16,0.53112,0.0013992701696220855,50000
E,FTE,32,0.48752,0.0003026134442265334,50000
E,FTE,64,0.44844,0.00040349254912878723,50000
E,FTE,128,0.4115,0.00025627942610449993,50000
E,FTE,256,0.37724,0.0002890664839786,50000
E,HH,8,0.47808297803725003,0.04711457429734392,50000
E,HH,16,0.47572394841772664,0.03548273209566726,50000
E,HH,32,0.4852794632912043,0.027483760123582952,50000
E,HH,64,0.4766802267472229,0.022106267930180303,50000
E,HH,128,0.45758900488574616,0.017993637342013733,50000
E,HH,256,0.4307489448679525,0.015203301028919156,50000
E,ProjEuler,8,0.8069307644674529,0.03842199723320125,50000
E,ProjEuler,16,0.7448067789547274,0.02799047138706438,50000
E,ProjEuler,32,0.6852659139725641,0.021346411954837073,50000
E,ProjEuler,64,0.6294469977716025,0.01715879493121006,50000
E,ProjEuler,128,0.5776921780570569,0.013949928133318652,50000
E,ProjEuler,256,0.5299698873221227,0.011917025643282179,50000
E,KLM,8,0.3633038471171019,0.008954463644913058,50000
E,KLM,16,0.3644902091345865,0.008782434220341325,50000
E,KLM,32,0.3448013333858232,0.007944989773191302,50000
E,KLM,64,0.32044216954197474,0.007034081170241015,50000
E,KLM,128,0.2941118431769552,0.005758363202594715,50000
E,KLM,256,0.2706704926620599,0.0052114108122816825,50000
