kappa,a,sigma,EA,EF,IF,SIA,FT
2.000000000000000000e+00,4.000000000000000083e-02,8.944271909999158832e-02,9.995537846677938765e-01,6.110909252662662938e-01,9.890962684772121039e-01,9.997010342730806576e-01,6.110909252662662938e-01
2.000000000000000000e+00,8.000000000000000167e-02,1.264911064067351654e-01,1.000839198035035515e+00,5.532536079170302656e-01,9.902458713015152014e-01,9.962127254972565904e-01,5.532536079170302656e-01
2.000000000000000000e+00,1.199999999999999956e-01,1.549193338482966753e-01,1.007307634192153856e+00,5.291629111378326478e-01,9.846336428316576628e-01,1.002541818651004668e+00,5.291629111378326478e-01
2.000000000000000000e+00,1.600000000000000033e-01,1.788854381999831766e-01,9.950076787295556446e-01,5.197632125610422982e-01,9.952138241679662212e-01,1.013873033535590773e+00,5.197702839961758636e-01
2.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000111e-01,9.981496731691078539e-01,5.155522207510879751e-01,9.920835460128578642e-01,9.946291242198963545e-01,5.155311796897961152e-01
2.000000000000000000e+00,2.400000000000000189e-01,2.190890230020664520e-01,1.013692836114920670e+00,5.154205261895214996e-01,9.918262056658430081e-01,9.993673952511070713e-01,5.154360925923985315e-01
2.000000000000000000e+00,2.799999999999999711e-01,2.366431913239846196e-01,1.008374626517217099e+00,5.104960046219259029e-01,9.932287664717444065e-01,9.964818958271103311e-01,5.105892292241424046e-01
2.000000000000000000e+00,3.200000000000000067e-01,2.529822128134703307e-01,1.010145641010879114e+00,5.119763697942874003e-01,9.881049010803566457e-01,9.885422045408326364e-01,5.124913956637017209e-01
2.000000000000000000e+00,3.599999999999999867e-01,2.683281572999747788e-01,1.000519441723795033e+00,4.994416763644434765e-01,9.845479176459386306e-01,1.006758851809409938e+00,5.002276679755269795e-01
2.000000000000000000e+00,3.999999999999999667e-01,2.828427124746190069e-01,9.977331863933239786e-01,5.144090365465853187e-01,9.867787353386839877e-01,9.932745026859346460e-01,5.163700971228160075e-01
2.000000000000000000e+00,4.400000000000000022e-01,2.966479394838265060e-01,1.005327626873654401e+00,5.168524009230170968e-01,9.822570513714323770e-01,1.010493312953255840e+00,5.179707063151930413e-01
2.000000000000000000e+00,4.799999999999999822e-01,3.098386676965933506e-01,1.006438792458348441e+00,5.142772505282439122e-01,9.868647602035286459e-01,1.001032950405566835e+00,5.151058526998467668e-01
2.000000000000000000e+00,5.200000000000000178e-01,3.224903099319419986e-01,1.000406137866264755e+00,4.987643144781762627e-01,9.873009329251953847e-01,9.827388354272827975e-01,5.003097457399361403e-01
2.000000000000000000e+00,5.600000000000000533e-01,3.346640106136302695e-01,1.004376272031310524e+00,4.907311623139134493e-01,9.783020483372191212e-01,9.720080321161600478e-01,4.929345018988197658e-01
2.000000000000000000e+00,6.000000000000000888e-01,3.464101615137755164e-01,1.015027886007486835e+00,5.025623115623238935e-01,9.685424377391415041e-01,9.772724171288856843e-01,5.065712245983684525e-01
2.000000000000000000e+00,6.400000000000000133e-01,3.577708763999663533e-01,1.020054336131467343e+00,5.065658110466151332e-01,9.613688188449486249e-01,9.869551599512397244e-01,5.103428708154160720e-01
2.000000000000000000e+00,6.800000000000000488e-01,3.687817782917154896e-01,9.843758006159832874e-01,5.058671152914252511e-01,9.615243624254767862e-01,9.978173595500652304e-01,5.100333288254035313e-01
