regime,delta,scheme,order_l1_full,order_l1_tail,order_l2_full,order_l2_tail,sens_l2_min,sens_l2_max,n_levels
E,0.24999999999999994,BLT,0.15485213871408132,0.1876476480542728,0.10735770189061089,0.13328145986184797,nan,nan,6
E,0.24999999999999994,FTE,0.20070872221619293,0.19441813016185913,0.17569492684239696,0.16869124687258646,nan,nan,6
E,0.24999999999999994,KL,0.19554272282362736,0.18979491796766823,0.13848028856895073,0.1340742347054774,nan,nan,6
E,0.24999999999999994,KLM,0.2904959857904696,0.29481478915563364,0.19098058311929492,0.19337458994904802,nan,nan,6
E,0.24999999999999994,ProjEuler,0.38508384803160767,0.3584439754631668,0.26961245150992985,0.24806341716286312,nan,nan,6
D,0.64,BLT,0.39665661144105674,0.3458495948278638,0.3884006839693395,0.3131406671173015,nan,nan,6
D,0.64,FTE,0.33526037639314193,0.33798684207608115,0.32416633540419815,0.32637699731629227,0.33895232025505617,0.3406263602879912,6
D,0.64,KL,0.3601331592809021,0.3561899241829642,0.32886276536041814,0.3259674727245622,0.3188729522510789,0.32062038772983786,6
D,0.64,KLM,0.40227826889251894,0.4031754059090937,0.35451372926133917,0.353293678315693,0.3326154980959444,0.403693501358382,6
D,0.64,ProjEuler,0.4967627589262646,0.4713997117764247,0.4348540286873335,0.4125362184138322,0.4123812613095821,0.4299112650167352,6
C,2.0,BLT,0.9584697070798424,0.9607567150508943,0.9581679319934023,0.9584745131912334,nan,nan,6
C,2.0,FTE,0.5150452846609372,0.5119747946217271,0.5313296626566223,0.5301286561113467,nan,nan,6
C,2.0,KL,0.9559089492103778,0.9604389321611588,0.9429428511653137,0.943253996257242,nan,nan,6
C,2.0,KLM,0.985855640258095,0.9851739663691429,0.9874068172540831,0.9862971544123332,nan,nan,6
C,2.0,ProjEuler,0.9279715140261796,0.9271173815635815,0.8805537345443089,0.8761470710891105,nan,nan,6
B,3.999999999999999,BLT,0.9926158308287524,0.9956125840189355,0.990473361342423,0.993260855695522,nan,nan,6
B,3.999999999999999,FTE,0.5630652669817365,0.5430857186648008,0.5813122281326407,0.558617963362044,nan,nan,6
B,3.999999999999999,KL,0.9879891677377742,0.993198175651887,0.9907925394441353,0.9950339839614385,nan,nan,6
B,3.999999999999999,KLM,0.9987183274006223,0.9968697456849033,0.9995611902046831,0.9959555403313708,nan,nan,6
B,3.999999999999999,ProjEuler,1.035397134404042,1.025776681099474,1.037031444028202,1.028429719855735,nan,nan,6
A,15.999999999999996,BLT,0.9928728188367902,0.995758385246253,0.9923578025718751,0.9951141527756567,nan,nan,6
A,15.999999999999996,FTE,0.639564673551666,0.5989399857960457,0.644266625134177,0.6027784557209129,nan,nan,6
A,15.999999999999996,KL,0.9898693164365401,0.9943558201590149,0.9907480521335187,0.9947239073450604,nan,nan,6
A,15.999999999999996,KLM,1.0003577020332912,0.999641114066298,0.9992339944538895,0.9984349914576082,nan,nan,6
A,15.999999999999996,ProjEuler,1.0248016295570117,1.0121209669972437,1.0255013576505696,1.01337492887913,nan,nan,6
