run_config_hash,run_mode,regime,scheme,scheme_variant,reference,reference_power,reference_n_steps,reference_dt,n_paths,completed_paths,path_batch_size,chunk_steps,n_steps,dt,l1,l2,runtime_s,timing_scope,mean_steps_per_path,backstop_fraction
0ceb47d539211b6e,full,D,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.012243879977126887,0.021161239303547554,18573.370531442,batch-checkpointed-regime,8.0,0.0
0ceb47d539211b6e,full,D,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.00980885079338437,0.017128115838520832,18573.370531442,batch-checkpointed-regime,16.0,0.0
0ceb47d539211b6e,full,D,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.007744829734842375,0.013526011355886082,18573.370531442,batch-checkpointed-regime,32.0,0.0
0ceb47d539211b6e,full,D,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.006148194363894017,0.010797524258336468,18573.370531442,batch-checkpointed-regime,64.0,0.0
0ceb47d539211b6e,full,D,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,0.004906322907265214,0.008750098973148476,18573.370531442,batch-checkpointed-regime,128.0,0.0
0ceb47d539211b6e,full,D,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,0.003819663579812699,0.0068713433831757535,18573.370531442,batch-checkpointed-regime,256.0,0.0
0ceb47d539211b6e,full,D,ProjEuler,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.0103697515016159,0.013762937374948644,18573.370531442,batch-checkpointed-regime,8.0,0.0
0ceb47d539211b6e,full,D,ProjEuler,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.006805172286440071,0.009511897051407646,18573.370531442,batch-checkpointed-regime,16.0,0.0
0ceb47d539211b6e,full,D,ProjEuler,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.004681069594523,0.006840285625574222,18573.370531442,batch-checkpointed-regime,32.0,0.0
0ceb47d539211b6e,full,D,ProjEuler,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.0033607514850096955,0.005145170781942997,18573.370531442,batch-checkpointed-regime,64.0,0.0
0ceb47d539211b6e,full,D,ProjEuler,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,0.0024539017976950347,0.003908605412330568,18573.370531442,batch-checkpointed-regime,128.0,0.0
0ceb47d539211b6e,full,D,ProjEuler,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,0.001834660954395904,0.0030120658679885794,18573.370531442,batch-checkpointed-regime,256.0,0.0
0ceb47d539211b6e,full,D,KL,adaptive-soft-zero,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.00718186349822817,0.012401105801905572,18573.370531442,batch-checkpointed-regime,12.18175,0.32868430233751306
0ceb47d539211b6e,full,D,KL,adaptive-soft-zero,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.005519999390842101,0.009741516458230192,18573.370531442,batch-checkpointed-regime,22.27925,0.28267782802383384
0ceb47d539211b6e,full,D,KL,adaptive-soft-zero,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.004259076669397675,0.007749779290141016,18573.370531442,batch-checkpointed-regime,41.60145,0.23918276886983506
0ceb47d539211b6e,full,D,KL,adaptive-soft-zero,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.0033734572252426846,0.0062685136205235395,18573.370531442,batch-checkpointed-regime,78.9068,0.19996312104913644
0ceb47d539211b6e,full,D,KL,adaptive-soft-zero,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,0.0026481908827598586,0.004947332163613349,18573.370531442,batch-checkpointed-regime,151.46255,0.16617837214545775
0ceb47d539211b6e,full,D,KL,adaptive-soft-zero,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,0.002037055488504713,0.003939632996772126,18573.370531442,batch-checkpointed-regime,293.20445,0.13724211893782648
0ceb47d539211b6e,full,D,KLM,adaptive-backstop,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.0014772412764991214,0.0025089462828132678,18573.370531442,batch-checkpointed-regime,151.4376,0.34410245540077233
0ceb47d539211b6e,full,D,KLM,adaptive-backstop,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.001116235379695496,0.0019523092034688314,18573.370531442,batch-checkpointed-regime,314.35335,0.3591592073060459
0ceb47d539211b6e,full,D,KLM,adaptive-backstop,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.0008540139219222215,0.0015336181039873901,18573.370531442,batch-checkpointed-regime,646.17245,0.38222590579341476
0ceb47d539211b6e,full,D,KLM,adaptive-backstop,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.0006406108990790921,0.0011901215467790282,18573.370531442,batch-checkpointed-regime,1318.79325,0.4014011673171667
0ceb47d539211b6e,full,D,KLM,adaptive-backstop,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,0.0004869164585591521,0.0009367764923876824,18573.370531442,batch-checkpointed-regime,2676.0873,0.41520508318245075
0ceb47d539211b6e,full,D,KLM,adaptive-backstop,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,0.0003655287809632007,0.0007342251399281196,18573.370531442,batch-checkpointed-regime,5409.4281,0.4252301643495363
