sigma,alpha,level,dtmax,dtmean,method,batch,metric,error,backend
0.3,0.00875,0,0.1,0.1,Fully Truncated,0,L1,0.008745932769341793,cpu
0.3,0.00875,0,0.1,0.1,Fully Truncated,0,L2,0.010895242164881433,cpu
0.3,0.00875,0,0.1,0.1,Fully Truncated,1,L1,0.003477695503205731,cpu
0.3,0.00875,0,0.1,0.1,Fully Truncated,1,L2,0.003744980137877188,cpu
0.3,0.00875,0,0.1,0.1,Fully Truncated,2,L1,0.0027163240354834734,cpu
0.3,0.00875,0,0.1,0.1,Fully Truncated,2,L2,0.003413525561422816,cpu
0.3,0.00875,0,0.1,0.1,Projected,0,L1,0.30446923672932713,cpu
0.3,0.00875,0,0.1,0.1,Projected,0,L2,0.3049744428295518,cpu
0.3,0.00875,0,0.1,0.1,Projected,1,L1,0.30547495918689505,cpu
0.3,0.00875,0,0.1,0.1,Projected,1,L2,0.30560616058960666,cpu
0.3,0.00875,0,0.1,0.1,Projected,2,L1,0.3014892825795282,cpu
0.3,0.00875,0,0.1,0.1,Projected,2,L2,0.30188462717347553,cpu
0.3,0.00875,0,0.1,0.1,Milstein,0,L1,0.002484795245018542,cpu
0.3,0.00875,0,0.1,0.1,Milstein,0,L2,0.0032104345067507658,cpu
0.3,0.00875,0,0.1,0.1,Milstein,1,L1,0.0010073435697194211,cpu
0.3,0.00875,0,0.1,0.1,Milstein,1,L2,0.00171717571603876,cpu
0.3,0.00875,0,0.1,0.1,Milstein,2,L1,0.002484683023076643,cpu
0.3,0.00875,0,0.1,0.1,Milstein,2,L2,0.002766280411821958,cpu
0.3,0.00875,0,0.1,0.1,Implicit,0,L1,0.0034744945595141627,cpu
0.3,0.00875,0,0.1,0.1,Implicit,0,L2,0.0050855395359273225,cpu
0.3,0.00875,0,0.1,0.1,Implicit,1,L1,0.002107466878468712,cpu
0.3,0.00875,0,0.1,0.1,Implicit,1,L2,0.00261268047123092,cpu
0.3,0.00875,0,0.1,0.1,Implicit,2,L1,0.002962247299476414,cpu
0.3,0.00875,0,0.1,0.1,Implicit,2,L2,0.0044643334997874,cpu
0.3,0.00875,0,0.1,0.1,Splitting/Adaptive,0,L1,0.0026255877534775425,cpu
0.3,0.00875,0,0.1,0.1,Splitting/Adaptive,0,L2,0.003893630984330917,cpu
0.3,0.00875,0,0.1,0.1,Splitting/Adaptive,1,L1,0.002329919457703063,cpu
0.3,0.00875,0,0.1,0.1,Splitting/Adaptive,1,L2,0.002731553696739349,cpu
0.3,0.00875,0,0.1,0.1,Splitting/Adaptive,2,L1,0.00196720838305523,cpu
0.3,0.00875,0,0.1,0.1,Splitting/Adaptive,2,L2,0.0032616173602528723,cpu
0.3,0.00875,0,0.1,0.1,Splitting,0,L1,0.0026255877534775425,cpu
0.3,0.00875,0,0.1,0.1,Splitting,0,L2,0.003893630984330917,cpu
0.3,0.00875,0,0.1,0.1,Splitting,1,L1,0.002329919457703063,cpu
0.3,0.00875,0,0.1,0.1,Splitting,1,L2,0.002731553696739349,cpu
0.3,0.00875,0,0.1,0.1,Splitting,2,L1,0.00196720838305523,cpu
0.3,0.00875,0,0.1,0.1,Splitting,2,L2,0.0032616173602528723,cpu
0.3,0.00875,0,0.1,0.04254570158102767,Adaptive Splitting,0,L1,0.0018575372225035165,cpu
0.3,0.00875,0,0.1,0.04254570158102767,Adaptive Splitting,0,L2,0.002168303865460434,cpu
0.3,0.00875,0,0.1,0.04527595029239766,Adaptive Splitting,1,L1,0.001335575787234979,cpu
0.3,0.00875,0,0.1,0.04527595029239766,Adaptive Splitting,1,L2,0.0019501044249061682,cpu
0.3,0.00875,0,0.1,0.038713282247765005,Adaptive Splitting,2,L1,0.0014182828795721025,cpu
0.3,0.00875,0,0.1,0.038713282247765005,Adaptive Splitting,2,L2,0.002037802894019583,cpu
0.3,0.00875,1,0.05,0.05,Fully Truncated,0,L1,0.004909850566024906,cpu
0.3,0.00875,1,0.05,0.05,Fully Truncated,0,L2,0.005010455821868357,cpu
0.3,0.00875,1,0.05,0.05,Fully Truncated,1,L1,0.0026981931361635333,cpu
0.3,0.00875,1,0.05,0.05,Fully Truncated,1,L2,0.0034038307494812002,cpu
0.3,0.00875,1,0.05,0.05,Fully Truncated,2,L1,0.0022101462549787678,cpu
0.3,0.00875,1,0.05,0.05,Fully Truncated,2,L2,0.0027188525722922187,cpu
0.3,0.00875,1,0.05,0.05,Projected,0,L1,0.22306858320917128,cpu
0.3,0.00875,1,0.05,0.05,Projected,0,L2,0.22564917126882608,cpu
0.3,0.00875,1,0.05,0.05,Projected,1,L1,0.21285399092003607,cpu
0.3,0.00875,1,0.05,0.05,Projected,1,L2,0.21304224029678265,cpu
0.3,0.00875,1,0.05,0.05,Projected,2,L1,0.21704814394522456,cpu
0.3,0.00875,1,0.05,0.05,Projected,2,L2,0.21792171782718334,cpu
0.3,0.00875,1,0.05,0.05,Milstein,0,L1,0.0021243087633219713,cpu
0.3,0.00875,1,0.05,0.05,Milstein,0,L2,0.0028694997065644347,cpu
0.3,0.00875,1,0.05,0.05,Milstein,1,L1,0.0006517829565365459,cpu
0.3,0.00875,1,0.05,0.05,Milstein,1,L2,0.0007487067197084258,cpu
0.3,0.00875,1,0.05,0.05,Milstein,2,L1,0.0010018958367736322,cpu
0.3,0.00875,1,0.05,0.05,Milstein,2,L2,0.0011049768069474157,cpu
0.3,0.00875,1,0.05,0.05,Implicit,0,L1,0.0018989139945237066,cpu
0.3,0.00875,1,0.05,0.05,Implicit,0,L2,0.0024045336682305208,cpu
