regime,alpha,backstop,h_max,n_paths,rho,rel_mean_bias,ks,w1,backstop_fraction,n_backstop_min,n_backstop_neg,mean_steps_per_path,runtime_s
C,0.01,implicit,0.0625,20000,64.0,0.002773223087359361,0.0052674165382184945,0.00014357605486691808,0.056413143650311505,193980,5,171.93245,0.24435329996049404
C,0.01,projected,0.0625,20000,64.0,0.007062870876974395,0.007133008383787831,0.00021754671013513404,0.050543056180037724,173105,8,171.253,0.1968757000286132
C,0.01,blt,0.0625,20000,64.0,0.0018255274820841438,0.005375821647481072,0.00011475851852992646,0.0540967030674986,185694,9,171.63985,0.2498530000448227
C,0.01,implicit,0.03125,20000,64.0,-0.000571896986354542,0.006967552225129736,0.00012359842940725904,0.05532962607906643,379714,0,343.13805,0.4288345000240952
C,0.01,projected,0.03125,20000,64.0,-0.001151341233024232,0.0044836451566559465,0.00010405817714514211,0.05170703049741411,353996,0,342.30935,0.36212789989076555
C,0.01,blt,0.03125,20000,64.0,0.006306582965217786,0.0047597510719527,0.00013095720653869024,0.05281851482298259,362183,0,342.8561,0.42797119985334575
C,0.01,implicit,0.015625,20000,64.0,-0.005947265203771514,0.005276969290313072,0.0001806250219347586,0.05261358461709672,720510,0,684.7186,0.9437659999821335
C,0.01,projected,0.015625,20000,64.0,-0.004162569485203355,0.00651984778650383,0.0001896541058708056,0.051013044628235325,698576,0,684.7033,0.8570286999456584
C,0.01,blt,0.015625,20000,64.0,0.005569381091576758,0.0058421154381967655,0.0001544214909335674,0.05244103360762543,720239,0,686.7132,1.391925600124523
C,0.01,implicit,0.0078125,20000,64.0,0.007001605984344184,0.005983147516212428,0.0002528932848118631,0.0529927954482092,1453336,0,1371.2581,2.227809200063348
C,0.01,projected,0.0078125,20000,64.0,0.013733259859712715,0.004955098331512642,0.0003025351440922573,0.052284888696680555,1435067,0,1372.3535,1.5008030000608414
C,0.01,blt,0.0078125,20000,64.0,0.00481169514495311,0.004286220614137623,0.00015810190520140275,0.05208465350894378,1427699,0,1370.5563,1.7332510999403894
