regime,sigma,delta,alpha,h_max,rho,n_paths,backstop_kind,backstop_fraction,n_backstop_min,n_backstop_neg,mean_steps_per_path,terminal_mean,exact_mean,rel_mean_error,min_terminal
A,0.1,15.999999999999996,0.01875,0.125,64.0,20000,implicit,0.0,0,0,59.21545,0.019966189117731303,0.02,0.0016905441134348886,0.002827214250903912
A,0.1,15.999999999999996,0.01875,0.0625,64.0,20000,implicit,0.0,0,0,117.937,0.02002283476663653,0.02,0.001141738331826396,0.003068313249961113
A,0.1,15.999999999999996,0.01875,0.03125,64.0,20000,implicit,0.0,0,0,235.30715,0.019986389492453502,0.02,0.0006805253773249295,0.0024835334597360505
A,0.1,15.999999999999996,0.01875,0.015625,64.0,20000,implicit,0.0,0,0,470.2697,0.019980962935234048,0.02,0.0009518532382976272,0.002908545601807164
A,0.1,15.999999999999996,0.01875,0.0078125,64.0,20000,implicit,0.0,0,0,939.4496,0.02004754110723855,0.02,0.002377055361927477,0.0025038354625875683
A,0.1,15.999999999999996,0.01875,0.00390625,64.0,20000,implicit,0.0,0,0,1878.15515,0.02006372795167685,0.02,0.0031863975838423986,0.003369244828995449
A,0.1,15.999999999999996,0.01875,0.001953125,64.0,20000,implicit,0.0,0,0,3754.1372,0.02002933465153494,0.02,0.001466732576746975,0.0033509156118568875
B,0.2,3.999999999999999,0.015,0.125,64.0,20000,implicit,0.002003552554639835,2724,0,67.97925,0.019966607694376772,0.02,0.0016696152811614129,4.6847089833434515e-05
B,0.2,3.999999999999999,0.015,0.0625,64.0,20000,implicit,0.00140101491309936,3789,0,135.2234,0.01999071122944448,0.02,0.00046443852777609124,5.598670739981411e-05
B,0.2,3.999999999999999,0.015,0.03125,64.0,20000,implicit,0.0015139874403483208,8176,0,270.01545,0.01992035235576659,0.02,0.00398238221167059,8.186929489628965e-05
B,0.2,3.999999999999999,0.015,0.015625,64.0,20000,implicit,0.0015195762243796315,16392,0,539.3609,0.0199654160683353,0.02,0.0017291965832350736,0.00014289696931060538
B,0.2,3.999999999999999,0.015,0.0078125,64.0,20000,implicit,0.001379543423945255,29749,0,1078.21905,0.020040992804274238,0.02,0.00204964021371188,9.802507679730273e-06
B,0.2,3.999999999999999,0.015,0.00390625,64.0,20000,implicit,0.0015071425963175292,64924,0,2153.87715,0.020029339917186802,0.02,0.0014669958593400978,0.00018026542786080284
B,0.2,3.999999999999999,0.015,0.001953125,64.0,20000,implicit,0.0012867725706587347,110769,0,4304.14055,0.020030709873187356,0.02,0.0015354936593678023,0.00013449080894685974
C,0.282842712474619,2.0,0.01,0.125,64.0,20000,implicit,0.060854268626138394,105064,205,86.4927,0.01988326497689559,0.02,0.005836751155220525,1.49249704397378e-06
C,0.282842712474619,2.0,0.01,0.0625,64.0,20000,implicit,0.056413143650311505,193980,5,171.93245,0.020055464461747188,0.02,0.002773223087359361,1.0062395988451858e-06
C,0.282842712474619,2.0,0.01,0.03125,64.0,20000,implicit,0.05532962607906643,379714,0,343.13805,0.01998856206027291,0.02,0.000571896986354542,2.2379310531499304e-06
C,0.282842712474619,2.0,0.01,0.015625,64.0,20000,implicit,0.05261358461709672,720510,0,684.7186,0.01988105469592457,0.02,0.005947265203771514,2.613774530934323e-06
C,0.282842712474619,2.0,0.01,0.0078125,64.0,20000,implicit,0.0529927954482092,1453336,0,1371.2581,0.020140032119686884,0.02,0.007001605984344184,2.996052453402074e-08
C,0.282842712474619,2.0,0.01,0.00390625,64.0,20000,implicit,0.05171954468172927,2829342,0,2735.2735,0.020034199468508672,0.02,0.0017099734254335738,1.1738124124457124e-06
C,0.282842712474619,2.0,0.01,0.001953125,64.0,20000,implicit,0.05087698428293363,5562912,0,5467.02215,0.019822839776469807,0.02,0.008858011176509674,1.8515270297611301e-06
D,0.5,0.64,-0.01125,0.125,64.0,20000,projected,0.3432754535136104,987274,47063,150.657,0.021519149474534868,0.02,0.07595747372674336,1.2671245988611447e-08
D,0.5,0.64,-0.01125,0.0625,64.0,20000,projected,0.3599234085144402,2252929,18318,315.5181,0.021185119537785336,0.02,0.05925597688926677,5.377177454221879e-08
D,0.5,0.64,-0.01125,0.03125,64.0,20000,projected,0.3824690259024369,4952503,2205,647.7267,0.020826733194378482,0.02,0.041336659718924085,2.765122488271321e-06
D,0.5,0.64,-0.01125,0.015625,64.0,20000,projected,0.40268292903128466,10659967,21,1323.62055,0.020651680599475107,0.02,0.032584029973755334,1.1905620981300657e-06
