regime,scheme,backstop,reference,dt,l1,l2,mean_steps_per_path,backstop_fraction,runtime_s
C,KLM,implicit,HH,0.0625,9.778728020306028e-05,0.00015467218685568372,172.49035,0.05663563208028739,22.214309800016053
C,KLM,implicit,HH,0.03125,4.9152852836562614e-05,7.705284990392756e-05,344.50115,0.05456542017348853,23.939864999993006
C,KLM,implicit,HH,0.015625,2.4667110970769855e-05,3.850256567034563e-05,689.41725,0.05332170032008918,26.427582500014978
C,KLM,implicit,HH,0.0078125,1.2499564363097769e-05,1.9465468738511317e-05,1383.007,0.05252388455011435,32.88912660000642
C,KLM,implicit,HH,0.00390625,6.251362021795444e-06,9.713798227393904e-06,2785.45645,0.05180021751910715,44.70712380000623
C,KLM,implicit,HH,0.001953125,3.1351045632508323e-06,4.892687441038098e-06,5654.0501,0.05083379080776097,70.41039050004474
C,KLM,projected,HH,0.0625,0.00010391246483646559,0.0001661384475362743,171.6808,0.0510732708608068,21.612472600019828
C,KLM,projected,HH,0.03125,5.2544727376422085e-05,8.293504981970086e-05,343.6228,0.05147475662266881,22.896772500018415
C,KLM,projected,HH,0.015625,2.6290002969216375e-05,4.176267920321047e-05,688.4608,0.05161078161603391,25.55379090000497
C,KLM,projected,HH,0.0078125,1.3223513284470823e-05,2.089671791681398e-05,1381.96935,0.05157925535758083,31.309311300014087
C,KLM,projected,HH,0.00390625,6.579596709789576e-06,1.046022345798437e-05,2784.3224,0.05128791838186555,44.962531000019226
C,KLM,projected,HH,0.001953125,3.284624578072103e-06,5.260775369107673e-06,5652.84355,0.050558563574610166,74.05824519998714
C,KLM,blt,HH,0.0625,9.860382469544897e-05,0.0001576389907888195,172.0868,0.05359330291457567,22.97151259999373
C,KLM,blt,HH,0.03125,4.969698067495063e-05,7.889944083697844e-05,344.0625,0.05290346957311535,24.796337600026163
C,KLM,blt,HH,0.015625,2.4595574793971477e-05,3.9084639246602647e-05,688.94315,0.0524373455197283,28.138364000020374
C,KLM,blt,HH,0.0078125,1.2283568240808378e-05,1.943931922539221e-05,1382.48915,0.052035489754114886,36.39987660002225
C,KLM,blt,HH,0.00390625,6.100621415729744e-06,9.63946920167891e-06,2784.89315,0.051545747814417946,54.51977410001564
C,KLM,blt,HH,0.001953125,3.015892472825037e-06,4.79371542942664e-06,5653.45265,0.050697161140988774,87.15357179998682
D,KLM,projected,HH,0.0625,0.0009808510023821858,0.0016955337295051017,316.00755,0.35863019728484336,17.20672140001261
D,KLM,projected,HH,0.03125,0.0007130514576146656,0.0012668676682976404,650.1701,0.38139911386266456,19.437350699998206
D,KLM,projected,HH,0.015625,0.0005038249537807207,0.0009419270087434274,1329.48485,0.40020298087638984,23.241586100026325
D,KLM,projected,HH,0.0078125,0.00034994938321404124,0.0006872663779523792,2707.35025,0.4126961592797238,31.23414180000691
D,KLM,projected,HH,0.00390625,0.00023407462366960922,0.0004677995358468223,5512.1815,0.41989860094410897,45.639984299981734
D,KLM,projected,HH,0.001953125,0.00015353171492670718,0.0003359667955041701,11270.85735,0.42128124352492136,78.2875124000202
D,KLM,blt,HH,0.0625,0.001188156098805371,0.0019906178881203347,308.54645,0.3361220004313775,19.180397099997208
D,KLM,blt,HH,0.03125,0.0008950273847018169,0.001538284246041022,637.3775,0.3615578679824751,21.082697400001052
D,KLM,blt,HH,0.015625,0.000649888230508993,0.0011631910315243487,1308.7563,0.3844245869150735,25.866758600030153
D,KLM,blt,HH,0.0078125,0.0004572598330485746,0.0008537827752426376,2675.1112,0.4004806230111107,36.798479499993846
D,KLM,blt,HH,0.00390625,0.0003113840599163985,0.0006135348365587514,5461.06475,0.4104050679860553,57.62583680001262
D,KLM,blt,HH,0.001953125,0.00020166629455686943,0.00041104323779282123,11190.3679,0.41382648822475265,104.39504930001567
E,KLM,projected,HH,0.0625,0.0047293568986990645,0.01168959185522485,392.2662,0.4828223792924295,19.189387000013085
E,KLM,projected,HH,0.03125,0.003557229989212304,0.009456206591161184,841.65415,0.5133600303640159,22.426396399991063
E,KLM,projected,HH,0.015625,0.002631818199567056,0.0076540757319158055,1774.8376,0.5501699423090879,28.035788300017884
E,KLM,projected,HH,0.0078125,0.00189443823945971,0.006207188089080721,3705.38345,0.5830711663593143,37.04224490001798
E,KLM,projected,HH,0.00390625,0.0012725740041442549,0.004572709180233056,7690.5101,0.6059712411014193,58.69057680002152
E,KLM,projected,HH,0.001953125,0.000871448135722334,0.0038899954014558823,15928.58165,0.619301593623058,98.65900960001454
E,KLM,blt,HH,0.0625,0.005792967955678638,0.01326480207702883,364.7204,0.4325846593719463,21.763269200011564
E,KLM,blt,HH,0.03125,0.004810060883491095,0.011541907254120314,782.4111,0.45507572681420294,25.064726799995697
E,KLM,blt,HH,0.015625,0.003843658303301408,0.009880894158357485,1659.6733,0.4927735476614584,30.3127771000145
E,KLM,blt,HH,0.0078125,0.002925606824134328,0.008143645520648155,3498.64945,0.5341683060016201,43.516214799994486
E,KLM,blt,HH,0.00390625,0.002041316493704549,0.00627267658247346,7332.45945,0.5656015731529207,74.16632039998512
E,KLM,blt,HH,0.001953125,0.0013967146480512837,0.004990418350722657,15320.62245,0.5860175446070078,134.12065859996073
