sensitivity_kind,kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
klm_fig3_jax,2.0,0.0,0.0,4,0.0625,14,6.103515625e-05,16384,256,0.00011613330782047489,0.0,85.0,0.7847664320000831
klm_fig3_jax,2.0,0.0,0.0,5,0.03125,14,6.103515625e-05,16384,256,5.815290767384462e-05,0.0,171.0,0.3921359429999711
klm_fig3_jax,2.0,0.0,0.0,6,0.015625,14,6.103515625e-05,16384,256,2.9231616147824827e-05,0.0,342.0,0.40115993300003083
klm_fig3_jax,2.0,0.0,0.0,7,0.0078125,14,6.103515625e-05,16384,256,1.476771371762553e-05,0.0,691.0,0.42355849300008686
klm_fig3_jax,2.0,0.0,0.0,8,0.00390625,14,6.103515625e-05,16384,256,7.534800801352326e-06,0.0,1412.0,0.4433044009999776
klm_fig3_jax,2.0,0.0,0.0,9,0.001953125,14,6.103515625e-05,16384,256,3.882484823601595e-06,0.0,2988.0,0.4907570880000094
klm_fig3_jax,2.0,0.04,0.08944271909999159,4,0.0625,14,6.103515625e-05,16384,256,0.00017534876807811216,0.0,86.31640625,0.39629597900000135
klm_fig3_jax,2.0,0.04,0.08944271909999159,5,0.03125,14,6.103515625e-05,16384,256,9.292535520053485e-05,0.0,172.48828125,0.39019057500001963
klm_fig3_jax,2.0,0.04,0.08944271909999159,6,0.015625,14,6.103515625e-05,16384,256,4.503912956829412e-05,0.0,346.2734375,0.4042697469999439
klm_fig3_jax,2.0,0.04,0.08944271909999159,7,0.0078125,14,6.103515625e-05,16384,256,2.2687644699232515e-05,0.0,699.4921875,0.4257314490000681
klm_fig3_jax,2.0,0.04,0.08944271909999159,8,0.00390625,14,6.103515625e-05,16384,256,1.1536060775902107e-05,0.0,1429.91015625,0.4577248770000324
klm_fig3_jax,2.0,0.04,0.08944271909999159,9,0.001953125,14,6.103515625e-05,16384,256,5.930151605855954e-06,0.0,3005.69921875,0.5229616889999988
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,4,0.0625,14,6.103515625e-05,16384,256,0.0003581872921558928,0.0,93.1953125,0.40757184100004906
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,5,0.03125,14,6.103515625e-05,16384,256,0.00018298975913384703,0.0,186.35546875,0.4059787319999941
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,6,0.015625,14,6.103515625e-05,16384,256,9.3504097156734e-05,0.0,374.4921875,0.41560594500003845
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,7,0.0078125,14,6.103515625e-05,16384,256,4.584498303183649e-05,0.0,757.765625,0.44212810200008335
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,8,0.00390625,14,6.103515625e-05,16384,256,2.34264883257267e-05,0.0,1555.06640625,0.4975624300000163
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,9,0.001953125,14,6.103515625e-05,16384,256,1.0885844502830227e-05,2.847478379927176e-05,3292.38671875,0.6193854279999869
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,4,0.0625,14,6.103515625e-05,16384,256,0.0004902566098869897,0.0009528165256498209,102.4921875,0.4052582239999083
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,5,0.03125,14,6.103515625e-05,16384,256,0.00020127592671930275,0.0008952551477170994,205.07421875,0.44275083200000154
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,6,0.015625,14,6.103515625e-05,16384,256,0.00012229462588546718,0.0008516759089274562,412.7890625,0.4272190460000047
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,7,0.0078125,14,6.103515625e-05,16384,256,5.89453136296383e-05,0.0008065268065268065,837.890625,0.46802879799997754
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,8,0.00390625,14,6.103515625e-05,16384,256,2.9504420800736132e-05,0.000773346380265463,1732.52734375,0.544715879000023
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,9,0.001953125,14,6.103515625e-05,16384,256,1.6451120371791926e-05,0.0035686017703207957,3716.22265625,0.7236781580000979
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,4,0.0625,14,6.103515625e-05,16384,256,0.0005416297937047528,0.009760244856316953,114.86328125,0.4052076199999419
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,5,0.03125,14,6.103515625e-05,16384,256,0.00025837483767164826,0.008638099278744166,230.17578125,0.6057331750000685
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,6,0.015625,14,6.103515625e-05,16384,256,0.0001512368499703344,0.008176724935646147,464.3515625,0.4371692690000373
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,7,0.0078125,14,6.103515625e-05,16384,256,7.651614006983472e-05,0.0076081219278857255,947.28125,0.4895359810000173
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,8,0.00390625,14,6.103515625e-05,16384,256,3.271514900355161e-05,0.007180242808430334,1982.98046875,0.5994802449999952
klm_fig3_jax,2.0,0.7085714285714286,0.37644957924572814,9,0.001953125,14,6.103515625e-05,16384,256,1.7766471042904673e-05,0.024796690553358508,4203.875,0.7912662249999585
klm_fig3_jax,2.0,0.9314285714285715,0.4316082880178673,4,0.0625,14,6.103515625e-05,16384,256,0.000577498049039716,0.03912691512007915,130.28515625,0.41717869800004337
