regime,scheme,scheme_variant,reference,reference_n_steps,adaptive_grid_steps,dt,l1,l2,runtime_s,mean_steps_per_path,backstop_fraction,n_paths,signature_hash,coarse_n_steps,reference_grid,schemes,master_seed
D,FTE,fixed,HH,262144,131072,0.125,0.01231187335820117,0.02115391540821068,0.9965828039998996,8.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,1048576,131072,0.125,0.012300194585178564,0.02113151223048183,0.9965828039998996,8.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,4194304,131072,0.125,0.01229214346380164,0.02111571890760942,0.9965828039998996,8.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,262144,131072,0.0625,0.009905160350099796,0.017433077573744876,1.015293515000053,16.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,1048576,131072,0.0625,0.009902074171492976,0.017419511203945606,1.015293515000053,16.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,4194304,131072,0.0625,0.009901289602598238,0.017411826915869084,1.015293515000053,16.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,262144,131072,0.03125,0.007865844655677525,0.01374712517806062,0.8815198159996953,32.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,1048576,131072,0.03125,0.007864935090142803,0.013741107928338584,0.8815198159996953,32.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,4194304,131072,0.03125,0.007866545171055438,0.013739399528555185,0.8815198159996953,32.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,262144,131072,0.015625,0.006147858882753813,0.0108074980164066,0.9959001270001409,64.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,1048576,131072,0.015625,0.006154522628232182,0.01080825611662396,0.9959001270001409,64.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,4194304,131072,0.015625,0.006163393496002636,0.010818616323424176,0.9959001270001409,64.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,262144,131072,0.0078125,0.004876948252707778,0.008543957534436297,0.9787581479998835,128.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,1048576,131072,0.0078125,0.004887539754613168,0.008549175829170102,0.9787581479998835,128.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,4194304,131072,0.0078125,0.004895640346009683,0.00855701230511545,0.9787581479998835,128.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,262144,131072,0.00390625,0.003836592761160854,0.0067913592894341636,0.9017717610000773,256.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,1048576,131072,0.00390625,0.0038488650104318033,0.006802439549852194,0.9017717610000773,256.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,FTE,fixed,HH,4194304,131072,0.00390625,0.0038605315777309316,0.006815426866224713,0.9017717610000773,256.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,262144,131072,0.125,0.010441755264001103,0.013811766490801868,0.6228060659999528,8.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,1048576,131072,0.125,0.010513866461544863,0.013912871624909983,0.6228060659999528,8.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,4194304,131072,0.125,0.010562781218871576,0.013986306504395103,0.6228060659999528,8.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,262144,131072,0.0625,0.006844364708778309,0.009599281125369374,0.5972948480000468,16.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,1048576,131072,0.0625,0.006916791997020539,0.009705753981209422,0.5972948480000468,16.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,4194304,131072,0.0625,0.006966234139602737,0.009783293091730086,0.5972948480000468,16.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,262144,131072,0.03125,0.004706346311144155,0.006907728024513493,0.6059045320000678,32.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,1048576,131072,0.03125,0.004778182749006525,0.007016112766493325,0.6059045320000678,32.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,4194304,131072,0.03125,0.004828036647054378,0.007098808140564114,0.6059045320000678,32.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,262144,131072,0.015625,0.0033354264000132867,0.0050910408648227965,0.6177096389999406,64.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,1048576,131072,0.015625,0.003407648849812267,0.005203803200594223,0.6177096389999406,64.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,4194304,131072,0.015625,0.0034577825667580406,0.005289255324652251,0.6177096389999406,64.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,262144,131072,0.0078125,0.002411234719637342,0.0038141798556490525,0.6121548650000932,128.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,1048576,131072,0.0078125,0.0024827507050631933,0.0039294067732455005,0.6121548650000932,128.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,4194304,131072,0.0078125,0.0025321839808149595,0.00401717416827411,0.6121548650000932,128.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,262144,131072,0.00390625,0.0017810459390462019,0.002911553738755071,0.6130705269999908,256.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,1048576,131072,0.00390625,0.0018518959758583343,0.0030253826569861903,0.6130705269999908,256.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,ProjEuler,fixed,HH,4194304,131072,0.00390625,0.0019017607702181269,0.003114740046066522,0.6130705269999908,256.0,0.0,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,262144,131072,0.125,0.007288809889618023,0.012524168560124548,3.093501483999944,12.1789,0.32874890178915994,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KL,adaptive-soft-zero,HH,1048576,131072,0.125,0.007266471675434164,0.012494649903245763,3.093501483999944,12.1789,0.32874890178915994,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
