regime,scheme,reference_n_steps,fitted_order,sensitivity_kind
A,FTE,4096,0.6469973485435233,strong_error
A,FTE,16384,0.6468024151004179,strong_error
A,FTE,32768,0.6467731114443123,strong_error
A,KL,4096,0.9890298994118788,strong_error
A,KL,16384,0.9897648206515319,strong_error
A,KL,32768,0.9899136338829951,strong_error
A,KLM,4096,1.1597374804189635,strong_error
A,KLM,16384,1.0398515123450807,strong_error
A,KLM,32768,1.0121182798181172,strong_error
A,ProjEuler,4096,1.043444378026151,strong_error
A,ProjEuler,16384,1.0356698975656633,strong_error
A,ProjEuler,32768,1.034273523205229,strong_error
C,FTE,4096,0.5438446389406117,strong_error
C,FTE,16384,0.5439924997647005,strong_error
C,FTE,32768,0.5440003910792302,strong_error
C,KL,4096,0.9401802398101212,strong_error
C,KL,16384,0.9450862807603297,strong_error
C,KL,32768,0.9453870170114257,strong_error
C,KLM,4096,0.8517392057817045,strong_error
C,KLM,16384,1.0062837622658392,strong_error
C,KLM,32768,1.0068402371496488,strong_error
C,ProjEuler,4096,0.8682753516789934,strong_error
C,ProjEuler,16384,0.8609523507529631,strong_error
C,ProjEuler,32768,0.8594334617383589,strong_error
D,FTE,4096,0.34543721978862046,strong_error
D,FTE,16384,0.3464603365694261,strong_error
D,FTE,32768,0.3462614586554974,strong_error
D,KL,4096,0.35277871087886153,strong_error
D,KL,16384,0.32357106912834094,strong_error
D,KL,32768,0.328148701038368,strong_error
D,KLM,4096,0.5729764653058643,strong_error
D,KLM,16384,0.6719332911608408,strong_error
D,KLM,32768,0.585112178831863,strong_error
D,ProjEuler,4096,0.5428791596587332,strong_error
D,ProjEuler,16384,0.4991827406938352,strong_error
D,ProjEuler,32768,0.4833635875847113,strong_error
E,FTE,4096,0.19191769514944865,strong_error
E,FTE,16384,0.1943933585699613,strong_error
E,FTE,32768,0.18984596815231164,strong_error
E,KL,4096,0.11846993140586357,strong_error
E,KL,16384,0.10392129016246204,strong_error
E,KL,32768,0.11423785994596498,strong_error
E,KLM,4096,0.2076278189280264,strong_error
E,KLM,16384,0.2660700918432118,strong_error
E,KLM,32768,0.3472874942850304,strong_error
E,ProjEuler,4096,0.4692776952341828,strong_error
E,ProjEuler,16384,0.378147052433877,strong_error
E,ProjEuler,32768,0.33673994966207876,strong_error
