backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,regime,runtime_s,scheme,scheme_variant
nan,0.0625,0.00048033341377707944,0.0006089083782493405,16.0,,,,HH,A,0.7989690001122653,FTE,fixed
nan,0.03125,0.00029570296399721187,0.00037463647219500133,32.0,,,,HH,A,0.7725622993893921,FTE,fixed
nan,0.015625,0.00019327427395350754,0.0002444915404952306,64.0,,,,HH,A,0.5991736999712884,FTE,fixed
nan,0.0078125,0.00013013118715427723,0.00016505663425752103,128.0,,,,HH,A,0.4364589999895543,FTE,fixed
nan,0.00390625,9.063857416033264e-05,0.00011449367360315327,256.0,,,,HH,A,0.4467702005058527,FTE,fixed
nan,0.001953125,6.287435668910391e-05,7.928261718206936e-05,512.0,,,,HH,A,0.5511070003267378,FTE,fixed
nan,0.0625,0.0003214744442368868,0.00041225446667319957,16.0,0.0,0.0,0.0125,HH,A,0.7933264002203941,ProjEuler,fixed
nan,0.03125,0.00015740474709206046,0.0002014795237063753,32.0,0.0,0.0,0.008838834764831846,HH,A,0.767622199608013,ProjEuler,fixed
nan,0.015625,7.75186800350017e-05,9.916429352314377e-05,64.0,0.0,0.0,0.00625,HH,A,0.5534693992231041,ProjEuler,fixed
nan,0.0078125,3.875099336276359e-05,4.9542759443280175e-05,128.0,0.0,0.0,0.004419417382415923,HH,A,0.44449319993145764,ProjEuler,fixed
nan,0.00390625,1.9324216374973823e-05,2.465964046708309e-05,256.0,0.0,0.0,0.003125,HH,A,0.4525147997774184,ProjEuler,fixed
nan,0.001953125,9.511890239850461e-06,1.2147210935159268e-05,512.0,0.0,0.0,0.0022097086912079614,HH,A,0.5903338997159153,ProjEuler,fixed
nan,0.0625,0.0010570604368421049,0.00110328983099502,16.0,,,,HH,A,0.8057332006283104,KL,uniform
nan,0.03125,0.0005350754761122433,0.0005579508063780118,32.0,,,,HH,A,0.7886210000142455,KL,uniform
nan,0.015625,0.0002688970079325077,0.0002801550829629167,64.0,,,,HH,A,0.568758999928832,KL,uniform
nan,0.0078125,0.00013512555382053473,0.0001407152140940718,128.0,,,,HH,A,0.437092799693346,KL,uniform
nan,0.00390625,6.752517494871007e-05,7.033663662728771e-05,256.0,,,,HH,A,0.4209753000177443,KL,uniform
nan,0.001953125,3.376873104200902e-05,3.5193417327329114e-05,512.0,,,,HH,A,0.5508528999052942,KL,uniform
0.0,0.0625,4.241194332067663e-05,5.456947458219421e-05,118.15765,,,,HH,A,4.742869699839503,KLM,implicit
0.0,0.03125,2.1140425774359353e-05,2.735631010175726e-05,236.2541,,,,HH,A,5.018516599666327,KLM,implicit
0.0,0.015625,1.0423951219169651e-05,1.3406166025780977e-05,473.7516,,,,HH,A,5.280376100214198,KLM,implicit
0.0,0.0078125,5.146459069552084e-06,6.659505887313254e-06,954.08505,,,,HH,A,6.073775399941951,KLM,implicit
0.0,0.00390625,2.5006791777275803e-06,3.2312769759273566e-06,1936.98565,,,,HH,A,7.689074600115418,KLM,implicit
0.0,0.001953125,1.165018029169397e-06,1.4970351384893299e-06,3998.7892,,,,HH,A,11.28151260013692,KLM,implicit
