run_config_hash,run_mode,regime,scheme,scheme_variant,reference,reference_power,reference_n_steps,reference_dt,n_paths,completed_paths,path_batch_size,chunk_steps,n_steps,dt,l1,l2,runtime_s,timing_scope,mean_steps_per_path,backstop_fraction
6401f6574377499d,full,B,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,4.702008478601294e-05,6.46677715638131e-05,1170.5598535719998,blt-streamed-regime,256.0,0.0
6401f6574377499d,full,B,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,9.376832920484475e-05,0.0001286661081067969,1170.5598535719998,blt-streamed-regime,128.0,0.0
6401f6574377499d,full,B,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.00018832670112849185,0.0002572995169133973,1170.5598535719998,blt-streamed-regime,64.0,0.0
6401f6574377499d,full,B,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.00037369120266210487,0.0005105671109439893,1170.5598535719998,blt-streamed-regime,32.0,0.0
6401f6574377499d,full,B,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.000742337361642794,0.0010148459326457773,1170.5598535719998,blt-streamed-regime,16.0,0.0
6401f6574377499d,full,B,BLT,splitting,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.001463140739326176,0.001995900531198596,1170.5598535719998,blt-streamed-regime,8.0,0.0
f1a1377ad11a430f,full,B,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,0.0003671603733110558,0.00047669455622372507,8886.753145495999,batch-checkpointed-regime,256.0,0.0
f1a1377ad11a430f,full,B,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,0.0005199987340841481,0.0006757705462893201,8886.753145495999,batch-checkpointed-regime,128.0,0.0
f1a1377ad11a430f,full,B,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.0007531565764182862,0.0009798380058302465,8886.753145495999,batch-checkpointed-regime,64.0,0.0
f1a1377ad11a430f,full,B,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.001107334066411542,0.0014656713039198862,8886.753145495999,batch-checkpointed-regime,32.0,0.0
f1a1377ad11a430f,full,B,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.0016525061070702285,0.0022434962338529186,8886.753145495999,batch-checkpointed-regime,16.0,0.0
f1a1377ad11a430f,full,B,FTE,fixed,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.0026096928588781047,0.003593643591128186,8886.753145495999,batch-checkpointed-regime,8.0,0.0
f1a1377ad11a430f,full,B,KL,uniform,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,256,0.00390625,6.788130804727304e-05,8.015297254709821e-05,8886.753145495999,batch-checkpointed-regime,256.0,0.0
f1a1377ad11a430f,full,B,KL,uniform,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,128,0.0078125,0.00013537226500776457,0.00015989103275437325,8886.753145495999,batch-checkpointed-regime,128.0,0.0
f1a1377ad11a430f,full,B,KL,uniform,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,64,0.015625,0.00027007705226260947,0.00031961623242174157,8886.753145495999,batch-checkpointed-regime,64.0,0.0
f1a1377ad11a430f,full,B,KL,uniform,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,32,0.03125,0.0005386651436913194,0.0006378589185336367,8886.753145495999,batch-checkpointed-regime,32.0,0.0
f1a1377ad11a430f,full,B,KL,uniform,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,16,0.0625,0.0010635742784474021,0.0012622481717363063,8886.753145495999,batch-checkpointed-regime,16.0,0.0
f1a1377ad11a430f,full,B,KL,uniform,HH,22,4194304,2.384185791015625e-07,20000,20000,512,16384,8,0.125,0.002072725119105385,0.00247352328881283,8886.753145495999,batch-checkpointed-regime,8.0,0.0
