regime,scheme,scheme_variant,noise,payoff,n_steps,dt,n_paths,approx_mean,exact_value,signed_error,weak_error,mc_standard_error,error_to_se,runtime_s,steps_per_path,backstop_fraction,estimator,signed_error_cv,mc_standard_error_cv,error_to_se_cv,variance_reduction,batch_standard_error_cv
A,FTE,fixed,shared,g1,8,0.125,200000,0.019994949774953672,0.02,-5.050225046328333e-06,5.050225046328333e-06,1.6779832449600934e-05,0.30096993289396284,0.03562291699995512,nan,nan,control-variate,-5.567369999472189e-07,3.1855520590981257e-06,0.1747693930655269,27.74634783012991,4.279342581607215e-06
A,FTE,fixed,shared,g2,8,0.125,200000,3.27657736379654e-05,2.898725021392412e-05,3.778523424041276e-06,3.778523424041276e-06,1.9859209563362383e-07,19.026554969298235,0.03562291699995512,nan,nan,control-variate,3.871447028145532e-06,8.0319178399756e-08,48.200779754954425,6.113436460018088,5.939737610034503e-08
A,FTE,fixed,shared,g3,8,0.125,200000,0.9802311795454429,0.9802226910132205,8.488532222510457e-06,8.488532222510457e-06,1.6409831883533743e-05,0.5172833142201888,0.03562291699995512,nan,nan,control-variate,4.137044113206913e-06,3.1208089671659624e-06,1.325631961690947,27.64864760228585,4.1941136169128665e-06
A,FTE,fixed,shared,g4,8,0.125,200000,0.9802097874781406,0.9802079963298019,1.7911483386797212e-06,1.7911483386797212e-06,1.0155736497018686e-05,0.17636813826407666,0.03562291699995512,nan,nan,control-variate,1.1958264878329787e-06,6.256047936604053e-07,1.9114727060133503,263.5255403150159,6.832333352208208e-07
A,HH,fixed,shared,g1,8,0.125,200000,0.019993624355997646,0.02,-6.375644002353942e-06,6.375644002353942e-06,1.6842689160570027e-05,0.3785407390453891,0.033196263000007775,nan,nan,control-variate,-1.6498485891983197e-06,3.5110176736418007e-06,0.46990609064266414,23.012130914242157,3.5697432431238906e-06
A,HH,fixed,shared,g2,8,0.125,200000,3.434034606225753e-05,2.898725021392412e-05,5.353095848333415e-06,5.353095848333415e-06,2.189261690024897e-07,24.451603354336946,0.033196263000007775,nan,nan,control-variate,5.448153798705948e-06,1.0212181595699341e-07,53.34955854095202,4.595770117009206,8.160702986757955e-08
A,HH,fixed,shared,g3,8,0.125,200000,0.9802326725641378,0.9802226910132205,9.98155091739342e-06,9.98155091739342e-06,1.6459744971902857e-05,0.6064219667092136,0.033196263000007775,nan,nan,control-variate,5.404207969018332e-06,3.413365625349496e-06,1.5832490750137536,23.253085193845408,3.4779354229547634e-06
A,HH,fixed,shared,g4,8,0.125,200000,0.980209545922585,0.9802079963298019,1.5495927830499107e-06,1.5495927830499107e-06,1.0191734104650095e-05,0.15204407484913596,0.033196263000007775,nan,nan,control-variate,7.262666597716777e-07,1.083666513485825e-06,0.6701938748992983,88.45143082369155,1.202865074650542e-06
A,ProjEuler,fixed,shared,g1,8,0.125,200000,0.020142357045113215,0.02,0.00014235704511321334,0.00014235704511321334,1.6752308960075817e-05,8.497756664617357,0.03251729199993747,nan,nan,control-variate,0.00014695655948316797,3.5069338703093344e-06,41.90457103492671,22.818873195423244,2.968238482325072e-06
A,ProjEuler,fixed,shared,g2,8,0.125,200000,3.399809307481566e-05,2.898725021392412e-05,5.01084286089154e-06,5.01084286089154e-06,2.070717533349279e-07,24.198582279770235,0.03251729199993747,nan,nan,control-variate,5.106182180969938e-06,9.48989401074335e-08,53.80652486939595,4.761228205248176,7.483551591698185e-08
A,ProjEuler,fixed,shared,g3,8,0.125,200000,0.9800866023697428,0.9802226910132205,-0.00013608864347767216,0.00013608864347767216,1.6376645639343662e-05,8.309921730902536,0.03251729199993747,nan,nan,control-variate,-0.00014054314124723312,3.414007021952709e-06,41.16662336764811,23.010236559028712,2.8961325160861495e-06
A,ProjEuler,fixed,shared,g4,8,0.125,200000,0.9801394033778333,0.9802079963298019,-6.859295196855507e-05,6.859295196855507e-05,1.011778926008367e-05,6.7794406668624205,0.03251729199993747,nan,nan,control-variate,-6.93408960957568e-05,1.1951627141561766e-06,58.01795460521349,71.66666367335229,1.3782132244312616e-06
A,KL,uniform,shared,g1,8,0.125,200000,0.017922397502590337,0.02,-0.0020776024974096625,0.0020776024974096625,1.4750504799981024e-05,140.84958620618428,0.022305826999968303,nan,nan,control-variate,-0.0020732049165431603,2.0659870310913634e-06,1003.4936741340452,50.97515846348048,1.5101196676340692e-06
A,KL,uniform,shared,g2,8,0.125,200000,1.6453769087576532e-05,2.898725021392412e-05,-1.2533481126347587e-05,1.2533481126347587e-05,1.220150980736219e-07,102.72073968079829,0.022305826999968303,nan,nan,control-variate,-1.2464079698088005e-05,5.6202760309860177e-08,221.76988513322743,4.71315643913142,3.958656260076536e-08
A,KL,uniform,shared,g3,8,0.125,200000,0.9822585942268047,0.9802226910132205,0.0020359032135842618,0.0020359032135842618,1.445785438437428e-05,140.8164143487722,0.022305826999968303,nan,nan,control-variate,0.002031638098353001,2.0219291278379675e-06,1004.8018352282285,51.130004999770996,1.4919299600722865e-06
A,KL,uniform,shared,g4,8,0.125,200000,0.9815363148867855,0.9802079963298019,0.0013283185569836053,0.0013283185569836053,9.202262280272566e-06,144.34695692505966,0.022305826999968303,nan,nan,control-variate,0.0013278122236186965,1.2726441488212928e-06,1043.349175689449,52.284775100457836,1.7687985193953358e-06
A,IF,fixed,shared,g1,8,0.125,200000,0.019891178929144843,0.02,-0.00010882107085515553,0.00010882107085515553,1.4689058917589848e-05,7.408307874975198,0.03312428600000317,nan,nan,control-variate,-0.00010404156958715236,1.6568179167029981e-06,62.79601912694846,78.60286589355965,1.18049501524064e-06
A,IF,fixed,shared,g2,8,0.125,200000,2.4861987710519457e-05,2.898725021392412e-05,-4.125262503404662e-06,4.125262503404662e-06,1.5421900886100948e-07,26.749377614808637,0.03312428600000317,nan,nan,control-variate,-4.039017375466227e-06,6.219297748996114e-08,64.94330290133132,6.148838933132455,4.1696970323676604e-08
A,IF,fixed,shared,g3,8,0.125,200000,0.9803264660323281,0.9802226910132205,0.00010377501910759492,0.00010377501910759492,1.4368230759119251e-05,7.222532881560997,0.03312428600000317,nan,nan,control-variate,9.913711926112334e-05,1.6023773561445353e-06,61.86877197244986,80.40387696712246,1.1434541641680222e-06
A,IF,fixed,shared,g4,8,0.125,200000,0.9802599239403315,0.9802079963298019,5.192761052949978e-05,5.192761052949978e-05,9.02512740748303e-06,5.753670633662733,0.03312428600000317,nan,nan,control-variate,5.0844213238982146e-05,1.5753882123557977e-06,32.2740851049983,32.819465203779,2.180675747312641e-06
A,BLT,fixed,shared,g1,8,0.125,200000,0.01986496985567701,0.02,-0.00013503014432298836,0.00013503014432298836,1.3740355925985212e-05,9.82726685177236,0.03457696099997065,nan,nan,control-variate,-0.00013020594997347905,1.2105370784044192e-06,107.56048062988742,128.83675353416857,9.815098970214325e-07
A,BLT,fixed,shared,g2,8,0.125,200000,2.1678246062321683e-05,2.898725021392412e-05,-7.309004151602437e-06,7.309004151602437e-06,1.354158944303213e-07,53.974492302772546,0.03457696099997065,nan,nan,control-variate,-7.225737490296142e-06,5.727215756681236e-08,126.16492545905514,5.590519887645833,3.927963215074451e-08
A,BLT,fixed,shared,g3,8,0.125,200000,0.9803495207818039,0.9802226910132205,0.00012682976858346197,0.00012682976858346197,1.3441789580078055e-05,9.435482368466408,0.03457696099997065,nan,nan,control-variate,0.00012214525455305763,1.1581786054028696e-06,105.46322819576666,134.69860840681002,9.47122458780664e-07
