regime,scheme,dt,l1,steps_per_path,backend,est_wall_s
B,FTE,0.0625,0.0016503246834662,16.0,cpu,0.010456448045000002
B,FTE,0.0625,0.0016503246834662,16.0,gpu,8.025594874993657e-05
B,FTE,0.03125,0.0010944010151883,32.0,cpu,0.020912896090000004
B,FTE,0.03125,0.0010944010151883,32.0,gpu,0.00016051189749987315
B,FTE,0.015625,0.0007565127727318,64.0,cpu,0.04182579218000001
B,FTE,0.015625,0.0007565127727318,64.0,gpu,0.0003210237949997463
B,FTE,0.0078125,0.0005232217445333,128.0,cpu,0.08365158436000002
B,FTE,0.0078125,0.0005232217445333,128.0,gpu,0.0006420475899994926
B,FTE,0.00390625,0.0003689733121391,256.0,cpu,0.16730316872000003
B,FTE,0.00390625,0.0003689733121391,256.0,gpu,0.0012840951799989852
B,FTE,0.001953125,0.000258568103727,512.0,cpu,0.33460633744000007
B,FTE,0.001953125,0.000258568103727,512.0,gpu,0.0025681903599979704
B,ProjEuler,0.0625,0.0006966814473961,16.0,cpu,0.010242860657499905
B,ProjEuler,0.0625,0.0006966814473961,16.0,gpu,7.785814437497152e-05
B,ProjEuler,0.03125,0.0003391882299501,32.0,cpu,0.02048572131499981
B,ProjEuler,0.03125,0.0003391882299501,32.0,gpu,0.00015571628874994303
B,ProjEuler,0.015625,0.0001656938259551,64.0,cpu,0.04097144262999962
B,ProjEuler,0.015625,0.0001656938259551,64.0,gpu,0.00031143257749988607
B,ProjEuler,0.0078125,8.218404334003131e-05,128.0,cpu,0.08194288525999924
B,ProjEuler,0.0078125,8.218404334003131e-05,128.0,gpu,0.0006228651549997721
B,ProjEuler,0.00390625,4.089399416280811e-05,256.0,cpu,0.16388577051999847
B,ProjEuler,0.00390625,4.089399416280811e-05,256.0,gpu,0.0012457303099995443
B,ProjEuler,0.001953125,2.013842611329919e-05,512.0,cpu,0.32777154103999695
B,ProjEuler,0.001953125,2.013842611329919e-05,512.0,gpu,0.0024914606199990886
B,KL,0.0625,0.0010646642350036,16.0,cpu,0.00951072760499997
B,KL,0.0625,0.0010646642350036,16.0,gpu,8.203142374995308e-05
B,KL,0.03125,0.0005400475087335,32.0,cpu,0.01902145520999994
B,KL,0.03125,0.0005400475087335,32.0,gpu,0.00016406284749990617
B,KL,0.015625,0.0002714156396105,64.0,cpu,0.03804291041999988
B,KL,0.015625,0.0002714156396105,64.0,gpu,0.00032812569499981233
B,KL,0.0078125,0.0001365998744416,128.0,cpu,0.07608582083999976
B,KL,0.0078125,0.0001365998744416,128.0,gpu,0.0006562513899996247
B,KL,0.00390625,6.805746472107471e-05,256.0,cpu,0.15217164167999953
B,KL,0.00390625,6.805746472107471e-05,256.0,gpu,0.0013125027799992493
B,KL,0.001953125,3.404717295632155e-05,512.0,cpu,0.30434328335999905
B,KL,0.001953125,3.404717295632155e-05,512.0,gpu,0.0026250055599984987
B,KLM,0.0625,7.663071481036359e-05,135.7044,cpu,0.53576599082094
B,KLM,0.0625,7.663071481036359e-05,135.7044,gpu,0.010181696356178993
B,KLM,0.03125,3.809646389263526e-05,271.5484,cpu,1.0720831276055967
B,KLM,0.03125,3.809646389263526e-05,271.5484,gpu,0.020373866689703767
B,KLM,0.015625,1.8880670507823572e-05,545.269,cpu,2.1527421811595135
B,KLM,0.015625,1.8880670507823572e-05,545.269,gpu,0.040910710267591646
B,KLM,0.0078125,9.290252950859747e-06,1101.06,cpu,4.347025607521231
B,KLM,0.0078125,9.290252950859747e-06,1101.06,gpu,0.08261087031764955
B,KLM,0.00390625,4.520499303116852e-06,2248.30875,cpu,8.876406108535457
B,KLM,0.00390625,4.520499303116852e-06,2248.30875,gpu,0.16868721284969646
B,KLM,0.001953125,2.112164152623903e-06,4708.50705,cpu,18.589359998132934
B,KLM,0.001953125,2.112164152623903e-06,4708.50705,gpu,0.35327217889786994
E,FTE,0.0625,0.0202263945074235,16.0,cpu,0.010456448045000002
E,FTE,0.0625,0.0202263945074235,16.0,gpu,8.025594874993657e-05
E,FTE,0.03125,0.0176287802219741,32.0,cpu,0.020912896090000004
E,FTE,0.03125,0.0176287802219741,32.0,gpu,0.00016051189749987315
E,FTE,0.015625,0.0150978272116308,64.0,cpu,0.04182579218000001
E,FTE,0.015625,0.0150978272116308,64.0,gpu,0.0003210237949997463
E,FTE,0.0078125,0.0132156110030506,128.0,cpu,0.08365158436000002
E,FTE,0.0078125,0.0132156110030506,128.0,gpu,0.0006420475899994926
E,FTE,0.00390625,0.0115681571024218,256.0,cpu,0.16730316872000003
E,FTE,0.00390625,0.0115681571024218,256.0,gpu,0.0012840951799989852
E,FTE,0.001953125,0.0101170046362748,512.0,cpu,0.33460633744000007
E,FTE,0.001953125,0.0101170046362748,512.0,gpu,0.0025681903599979704
E,ProjEuler,0.0625,0.0227494865467139,16.0,cpu,0.010242860657499905
E,ProjEuler,0.0625,0.0227494865467139,16.0,gpu,7.785814437497152e-05
E,ProjEuler,0.03125,0.0161723541150528,32.0,cpu,0.02048572131499981
E,ProjEuler,0.03125,0.0161723541150528,32.0,gpu,0.00015571628874994303
E,ProjEuler,0.015625,0.0118410649174526,64.0,cpu,0.04097144262999962
E,ProjEuler,0.015625,0.0118410649174526,64.0,gpu,0.00031143257749988607
E,ProjEuler,0.0078125,0.0088110815624521,128.0,cpu,0.08194288525999924
E,ProjEuler,0.0078125,0.0088110815624521,128.0,gpu,0.0006228651549997721
E,ProjEuler,0.00390625,0.0065888786629798,256.0,cpu,0.16388577051999847
E,ProjEuler,0.00390625,0.0065888786629798,256.0,gpu,0.0012457303099995443
E,ProjEuler,0.001953125,0.0048582247921682,512.0,cpu,0.32777154103999695
E,ProjEuler,0.001953125,0.0048582247921682,512.0,gpu,0.0024914606199990886
E,KL,0.0625,0.0147089851701139,50.05785,cpu,0.029755410990121738
E,KL,0.0625,0.0147089851701139,50.05785,gpu,0.0002566447940850993
E,KL,0.03125,0.0131869003934359,92.9875,cpu,0.055273673948120924
E,KL,0.03125,0.0131869003934359,92.9875,gpu,0.0004767435634967977
E,KL,0.015625,0.0115791498008529,174.4242,cpu,0.10368131587000226
E,KL,0.015625,0.0115791498008529,174.4242,gpu,0.0008942665914029106
E,KL,0.0078125,0.0102450134722194,328.2458,cpu,0.1951160244553312
E,KL,0.0078125,0.0102450134722194,328.2458,gpu,0.0016829043946213968
E,KL,0.00390625,0.0091619033750588,622.26635,cpu,0.3698878595379733
E,KL,0.00390625,0.0091619033750588,622.26635,gpu,0.003190337165136664
E,KL,0.001953125,0.0083890333202979,1177.65815,cpu,0.7000241172786372
E,KL,0.001953125,0.0083890333202979,1177.65815,gpu,0.006037810920952238
E,KLM,0.0625,0.0037604376969237,393.2598,cpu,1.5526042368342123
E,KLM,0.0625,0.0037604376969237,393.2598,gpu,0.029505689371101304
E,KLM,0.03125,0.0025832471335489,845.92225,cpu,3.3397323331353213
E,KLM,0.03125,0.0025832471335489,845.92225,gpu,0.06346826993403114
E,KLM,0.015625,0.0017675001304327,1790.57895,cpu,7.0692719269962385
E,KLM,0.015625,0.0017675001304327,1790.57895,gpu,0.13434443666281864
E,KLM,0.0078125,0.0011760038264136,3770.40405,cpu,14.885694654289285
E,KLM,0.0078125,0.0011760038264136,3770.40405,gpu,0.28288772639065146
E,KLM,0.00390625,0.0006598789346582,7944.989,cpu,31.367110452177446
E,KLM,0.00390625,0.0006598789346582,7944.989,gpu,0.5961005358056348
E,KLM,0.001953125,0.0009757807225052,16959.8729,cpu,66.95820554429854
E,KLM,0.001953125,0.0009757807225052,16959.8729,gpu,1.2724736715035683
B,BLT,0.0625,0.0007429275591204,16.0,cpu,0.019578814679374973
B,BLT,0.0625,0.0007429275591204,16.0,gpu,0.00014908798437502925
B,BLT,0.03125,0.0003745319305238,32.0,cpu,0.039157629358749946
B,BLT,0.03125,0.0003745319305238,32.0,gpu,0.0002981759687500585
B,BLT,0.015625,0.0001881638119117,64.0,cpu,0.07831525871749989
B,BLT,0.015625,0.0001881638119117,64.0,gpu,0.000596351937500117
B,BLT,0.0078125,9.481658521755995e-05,128.0,cpu,0.15663051743499978
B,BLT,0.0078125,9.481658521755995e-05,128.0,gpu,0.001192703875000234
B,BLT,0.00390625,4.7599582376452086e-05,256.0,cpu,0.31326103486999957
B,BLT,0.00390625,4.7599582376452086e-05,256.0,gpu,0.002385407750000468
B,BLT,0.001953125,2.4069090573456293e-05,512.0,cpu,0.6265220697399991
B,BLT,0.001953125,2.4069090573456293e-05,512.0,gpu,0.004770815500000936
E,BLT,0.0625,0.0059406743730616,16.0,cpu,0.019578814679374973
E,BLT,0.0625,0.0059406743730616,16.0,gpu,0.00014908798437502925
E,BLT,0.03125,0.0049704584054905,32.0,cpu,0.039157629358749946
E,BLT,0.03125,0.0049704584054905,32.0,gpu,0.0002981759687500585
E,BLT,0.015625,0.0038474075700552,64.0,cpu,0.07831525871749989
E,BLT,0.015625,0.0038474075700552,64.0,gpu,0.000596351937500117
E,BLT,0.0078125,0.0028491436400429,128.0,cpu,0.15663051743499978
E,BLT,0.0078125,0.0028491436400429,128.0,gpu,0.001192703875000234
E,BLT,0.00390625,0.0020369154308176,256.0,cpu,0.31326103486999957
E,BLT,0.00390625,0.0020369154308176,256.0,gpu,0.002385407750000468
E,BLT,0.001953125,0.0015549238968554,512.0,cpu,0.6265220697399991
E,BLT,0.001953125,0.0015549238968554,512.0,gpu,0.004770815500000936
